event,selected_count,pooled_percentage,mean_run_percentage,std_run_percentage,min_run_percentage,max_run_percentage,runs_present,total_runs
EV_move_forward,6093,42.990192619769985,43.169247853227105,2.7942414860521523,37.55411255411256,47.96680497925311,10,10
EV_search_color,3221,22.726310590559514,21.954278597631685,3.2966006471518305,15.151515151515152,26.723786209710322,10,10
EV_approach_color,2843,20.059267621533902,20.954036215619148,3.4469712982155545,14.932680538555692,25.590551181102363,10,10
EV_full_rotate,884,6.237211599520214,6.071125800657004,2.0815946405625714,3.7344398340248963,10.714285714285714,10,10
EV_rotate_clockwise,584,4.120510830452268,4.1251353787226765,1.2554562755109882,2.6556016597510372,7.467532467532467,10,10
EV_rotate_counterclockwise,548,3.866506738164115,3.7261761541423852,1.2272961105672384,2.5101214574898787,6.1688311688311686,10,10
