run,path,coverage_pct,collisions,success,duration_s,completed_robots,total_robots,completed_targets,total_targets,progress_pct
run_20260728_160824,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_160824,41.176,0,True,600.692,3.0,3.0,9.0,9.0,100.0
run_20260728_161829,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_161829,36.471,0,True,223.02,3.0,3.0,9.0,9.0,100.0
run_20260728_162217,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_162217,31.765,0,True,309.121,3.0,3.0,9.0,9.0,100.0
run_20260728_162731,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_162731,40.0,0,True,477.426,3.0,3.0,9.0,9.0,100.0
run_20260728_163533,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_163533,40.0,1,False,883.069,2.0,3.0,8.0,9.0,88.889
run_20260728_165020,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_165020,37.647,0,True,257.848,3.0,3.0,9.0,9.0,100.0
run_20260728_165443,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_165443,36.471,0,True,175.971,3.0,3.0,9.0,9.0,100.0
run_20260728_165744,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_165744,37.647,0,True,198.656,3.0,3.0,9.0,9.0,100.0
run_20260728_170108,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_170108,30.588,0,True,237.673,3.0,3.0,9.0,9.0,100.0
run_20260728_170511,/home/ecem/sct_ws/src/llm_sct/results/baseline/results_patrolling/sup_patrolling/robots_3/run_20260728_170511,36.471,0,True,175.332,3.0,3.0,9.0,9.0,100.0
