prompt,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_median_s,duration_success_mean_s,duration_success_median_s,duration_min_s,duration_max_s,progress_mean_pct,collisions_total,selected_events_total
1,3,3,100.0,132.39266666666666,134.82,132.39266666666666,134.82,100.941,161.417,100.0,0,2292
2,3,3,100.0,181.67766666666665,149.743,181.67766666666665,149.743,94.842,300.448,100.0,0,2560
3,3,3,100.0,144.93800000000002,146.842,144.93800000000002,146.842,140.763,147.209,100.0,0,2445
4,3,3,100.0,110.48733333333334,101.435,110.48733333333334,101.435,74.617,155.41,100.0,0,2154
5,3,3,100.0,114.41866666666667,125.86,114.41866666666667,125.86,84.572,132.824,100.0,0,1971
