event,count,percentage
EV_move_forward,6084,53.26562773594817
EV_approach_object,1574,13.7804237436526
EV_approach_zone,1412,12.362108212222028
EV_search_object,1147,10.04202416389424
EV_search_zone,652,5.708282262300823
EV_full_rotate,168,1.4708457362983716
EV_rotate_counterclockwise,107,0.9367886534757486
EV_rotate_clockwise,100,0.8755034144633164
EV_pick_up_object,45,0.3939765365084924
EV_drop_object,45,0.3939765365084924
EV_move_backward,43,0.3764664682192261
EV_claim_red,15,0.13132551216949745
EV_claim_green,15,0.13132551216949745
EV_claim_blue,15,0.13132551216949745
