task,collision_control,event,runs,mean_pct,sd_pct,event_count,total_selected_events,pooled_pct
exploration,baseline,full_rotate,10,6.810438024614154,2.573795222002494,342,5060,6.758893280632411
exploration,without_fixed_spec,full_rotate,300,0.0,0.0,0,129596,0.0
exploration,with_fixed_spec,full_rotate,300,0.0,0.0,0,140932,0.0
exploration,baseline,move_backward,10,0.11668434454771522,0.12825952384806513,6,5060,0.11857707509881422
exploration,without_fixed_spec,move_backward,300,2.6413654385554937,0.6752471406223619,3416,129596,2.635883823574802
exploration,with_fixed_spec,move_backward,300,0.1586905997027241,0.24499766220171448,222,140932,0.15752277694207134
exploration,baseline,move_forward,10,86.3720439171213,4.417136759786152,4374,5060,86.44268774703558
exploration,without_fixed_spec,move_forward,300,89.72885159823225,1.3913172634794295,116306,129596,89.74505385968703
exploration,with_fixed_spec,move_forward,300,89.69865279928597,3.837281450856017,126479,140932,89.74469957142452
exploration,baseline,rotate_clockwise,10,3.0832021821240394,0.7888492494901187,156,5060,3.08300395256917
exploration,without_fixed_spec,rotate_clockwise,300,2.5814201173933857,0.6375386156092743,3355,129596,2.5888144695823945
exploration,with_fixed_spec,rotate_clockwise,300,2.384874120584585,1.2584030335156886,3351,140932,2.3777424573553203
exploration,baseline,rotate_counterclockwise,10,3.617631531592786,1.3997697881837676,182,5060,3.5968379446640317
exploration,without_fixed_spec,rotate_counterclockwise,300,2.535769787140685,0.8061890649909962,3291,129596,2.5394302293280657
exploration,with_fixed_spec,rotate_counterclockwise,300,2.7397392366141506,1.3894621975265757,3846,140932,2.7289756762126416
exploration,baseline,u_turn,10,0.0,0.0,0,5060,0.0
exploration,without_fixed_spec,u_turn,300,2.512593058678176,0.6894111905285871,3228,129596,2.4908176178277106
exploration,with_fixed_spec,u_turn,300,5.01804324381257,1.897709750796218,7034,140932,4.99105951806545
patrolling,baseline,approach_color,10,17.311402022099504,2.620806385959622,1878,11008,17.06031976744186
patrolling,without_fixed_spec,approach_color,300,6.775092351045827,2.1777893936405763,39718,587867,6.756290113239899
patrolling,with_fixed_spec,approach_color,300,17.729305179287046,3.851502947259948,83498,486076,17.177972168961233
patrolling,baseline,full_rotate,10,4.861879667551625,2.624279242559787,553,11008,5.023619186046512
patrolling,without_fixed_spec,full_rotate,300,0.0,0.0,0,587867,0.0
patrolling,with_fixed_spec,full_rotate,300,0.0,0.0,0,486076,0.0
patrolling,baseline,move_backward,10,0.46750280410502487,0.2575566885629195,50,11008,0.45421511627906974
patrolling,without_fixed_spec,move_backward,300,16.816514468330897,0.9032931914039736,98838,587867,16.812986610917097
patrolling,with_fixed_spec,move_backward,300,0.41221238879778327,0.2352571116830931,1958,486076,0.40281766637315974
patrolling,baseline,move_forward,10,45.11945042446655,3.1950243947459267,4941,11008,44.885537790697676
patrolling,without_fixed_spec,move_forward,300,16.68378642274076,0.815233334109872,98142,587867,16.694592484354455
patrolling,with_fixed_spec,move_forward,300,50.59874577548144,7.459482786509573,249576,486076,51.345057151556546
patrolling,baseline,rotate_clockwise,10,2.521586569104932,1.4888497001039538,289,11008,2.625363372093023
patrolling,without_fixed_spec,rotate_clockwise,300,16.767898441532875,0.8448437783693167,98528,587867,16.76025359477569
patrolling,with_fixed_spec,rotate_clockwise,300,1.565491692916345,0.7868771003759925,7508,486076,1.5446144224359977
patrolling,baseline,rotate_counterclockwise,10,2.3882599997392093,1.2539353604647299,271,11008,2.461845930232558
patrolling,without_fixed_spec,rotate_counterclockwise,300,16.76795308940101,0.8733163892583357,98659,587867,16.782537546758025
patrolling,with_fixed_spec,rotate_counterclockwise,300,1.9235784647130179,0.8052695193222789,9480,486076,1.950312296842469
patrolling,baseline,search_color,10,27.329918512933155,2.291918825486566,3026,11008,27.4890988372093
patrolling,without_fixed_spec,search_color,300,9.439065008396243,2.051226193349568,55477,587867,9.436998504763833
patrolling,with_fixed_spec,search_color,300,24.634160516796587,6.345750243578064,118709,486076,24.4219011018853
patrolling,baseline,u_turn,10,0.0,0.0,0,11008,0.0
patrolling,without_fixed_spec,u_turn,300,16.749690218552384,0.8651884961816987,98505,587867,16.756341145191005
patrolling,with_fixed_spec,u_turn,300,3.1365059820077845,1.2184257764947413,15347,486076,3.1573251919452927
delivery,baseline,approach_color,10,0.0,0.0,0,10613,0.0
delivery,without_fixed_spec,approach_color,280,3.0245002821171436,2.2326265958822913,30282,986827,3.0686229703889336
delivery,with_fixed_spec,approach_color,300,4.987635894229038,4.5386923417370575,106148,2281211,4.653142563313959
delivery,baseline,approach_object,10,7.959235954388087,2.5667695410210625,853,10613,8.037312729671157
delivery,without_fixed_spec,approach_object,280,2.7712426130088073,2.499672644996333,27400,986827,2.776575833454091
delivery,with_fixed_spec,approach_object,300,1.4138909940085245,1.6036757565866326,28718,2281211,1.258892754769287
delivery,baseline,approach_zone,10,11.724229096535058,4.156347113176077,1071,10613,10.091397342881372
delivery,without_fixed_spec,approach_zone,280,0.0,0.0,0,986827,0.0
delivery,with_fixed_spec,approach_zone,300,0.0,0.0,0,2281211,0.0
delivery,baseline,claim_blue,10,0.10721440221125866,0.03176553630296815,10,10613,0.0942240648261566
delivery,without_fixed_spec,claim_blue,280,0.0,0.0,0,986827,0.0
delivery,with_fixed_spec,claim_blue,300,0.0,0.0,0,2281211,0.0
delivery,baseline,claim_green,10,0.10721440221125866,0.03176553630296815,10,10613,0.0942240648261566
delivery,without_fixed_spec,claim_green,280,0.0,0.0,0,986827,0.0
delivery,with_fixed_spec,claim_green,300,0.0,0.0,0,2281211,0.0
delivery,baseline,claim_red,10,0.10721440221125866,0.03176553630296815,10,10613,0.0942240648261566
delivery,without_fixed_spec,claim_red,280,0.0,0.0,0,986827,0.0
delivery,with_fixed_spec,claim_red,300,0.0,0.0,0,2281211,0.0
delivery,baseline,drop_object,10,0.30587521120962957,0.1240551697256525,27,10613,0.2544049750306228
delivery,without_fixed_spec,drop_object,280,0.024458156257165874,0.028673686500653845,249,986827,0.02523238622372513
delivery,with_fixed_spec,drop_object,300,0.11186272088360423,0.1402305648853085,958,2281211,0.04199523849394028
delivery,baseline,drop_zone_blue,10,0.0,0.0,0,10613,0.0
delivery,without_fixed_spec,drop_zone_blue,280,0.02420193823800115,0.021249545954777883,242,986827,0.024523042032696715
delivery,with_fixed_spec,drop_zone_blue,300,0.06655360842636111,0.07484889883429163,616,2281211,0.027003201369798762
delivery,baseline,drop_zone_red,10,0.0,0.0,0,10613,0.0
delivery,without_fixed_spec,drop_zone_red,280,0.026086754579781435,0.020223023681409304,264,986827,0.026752409490214596
delivery,with_fixed_spec,drop_zone_red,300,0.06508930415869431,0.07551618811065257,592,2281211,0.02595112858915725
delivery,baseline,move_backward,10,0.19973858424412838,0.1742250881239006,23,10613,0.2167153491001602
delivery,without_fixed_spec,move_backward,280,16.860193425044766,0.8991806905375165,166276,986827,16.84955924392016
delivery,with_fixed_spec,move_backward,300,0.40657585346460123,0.3350523127398866,9390,2281211,0.41162347542599087
delivery,baseline,move_forward,10,45.945377962046095,2.16393144883499,4902,10613,46.18863657778196
delivery,without_fixed_spec,move_forward,280,16.925597612652506,1.028218927061121,166956,986827,16.91846696533435
delivery,with_fixed_spec,move_forward,300,53.38197531862614,13.047471601555463,1170113,2281211,51.293501565615806
delivery,baseline,pick_up_object,10,0.31115504225503615,0.11387786494092608,28,10613,0.2638273815132385
delivery,without_fixed_spec,pick_up_object,280,0.07949664075183396,0.032073292058916125,791,986827,0.08015589358621115
delivery,with_fixed_spec,pick_up_object,300,0.12747273036419685,0.13077872295860635,1227,2281211,0.05378722091029721
delivery,baseline,rotate_clockwise,10,1.328849927757007,0.5170065781550877,142,10613,1.3379817205314237
delivery,without_fixed_spec,rotate_clockwise,280,16.972334150562013,0.9702889862618808,167526,986827,16.976227849460948
delivery,with_fixed_spec,rotate_clockwise,300,1.6746091417107476,0.940059781883254,53497,2281211,2.345114064415786
