task,collision_control,event,runs,mean_pct,sd_pct,event_count,total_selected_events,pooled_pct
delivery,baseline,rotate_counterclockwise,10,1.6862799105027584,0.8685261242045229,192,10613,1.8091020446622068
delivery,without_fixed_spec,rotate_counterclockwise,280,16.97559999250431,0.9781859087491948,167526,986827,16.976227849460948
delivery,with_fixed_spec,rotate_counterclockwise,300,2.47614938999193,1.2329592337435364,53530,2281211,2.3465606644891683
delivery,baseline,search_color,10,0.0,0.0,0,10613,0.0
delivery,without_fixed_spec,search_color,280,7.054313645953544,3.8758604170016513,70426,986827,7.136610571052474
delivery,with_fixed_spec,search_color,300,18.051208475262733,15.855099042260122,328600,2281211,14.404629821616677
delivery,baseline,search_object,10,14.597545770998108,6.920767361999644,1800,10613,16.96033166870819
delivery,without_fixed_spec,search_object,280,2.3232293273016045,2.782810664576333,21947,986827,2.2239967086429537
delivery,with_fixed_spec,search_object,300,13.479491647133536,13.165884682090581,429814,2281211,18.841483755777084
delivery,baseline,search_zone,10,12.585709932132888,5.21469424207323,1213,10613,11.429379063412796
delivery,without_fixed_spec,search_zone,280,0.0,0.0,0,986827,0.0
delivery,with_fixed_spec,search_zone,300,0.0,0.0,0,2281211,0.0
delivery,baseline,u_turn,10,3.0343594012974258,1.4146804765540004,332,10613,3.1282389522283993
delivery,without_fixed_spec,u_turn,280,16.93874546102852,1.0064232069056804,166942,986827,16.917048276952293
delivery,with_fixed_spec,u_turn,300,3.7574849217398896,1.70808652637891,98008,2281211,4.296314545213047
