task,condition,video,robot,color,elapsed_s,distance_m,points
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,red,6.6,0.9949430813915939,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,2,red,7.8,0.956055863896038,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,green,10.6,0.9793298747883679,2
patrolling,llm,2026-09-13 13-22-01_llm.mp4,2,green,172.4,0.9850256265240006,2
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,red,219.2,0.9921308969853726,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,red,7.0,0.992770110279817,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,green,8.4,0.9970902909892362,2
patrolling,baseline,2026-09-13 16-31-31_base.mp4,2,red,42.4,0.9757497362141586,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,2,green,42.6,0.9533566792024902,2
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,red,85.6,0.9966208679583224,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,green,86.4,0.9877426841424843,2
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,red,23.2,0.9986238777983433,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,green,27.2,0.9640894627242849,2
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,red,58.6,0.9872407881373219,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,green,61.8,0.9959929606628755,2
patrolling,llm,2026-09-13 16-35-23_llm.mp4,2,red,92.2,0.9983784540323375,1
patrolling,llm,2026-09-13 16-35-23_llm.mp4,2,green,161.2,0.986726381326151,2
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,red,11.4,0.9645845167158758,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,green,35.4,0.9826894407049462,2
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,red,123.8,0.9966092473166199,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,green,180.8,0.9657442687016063,2
patrolling,baseline,2026-09-13 16-41-51_base.mp4,2,blue,194.6,0.9978705586768255,3
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,red,250.8,0.9840568539388359,1
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,green,290.6,0.9833815930700555,2
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,red,6.8,0.992437481772026,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,green,16.8,0.9339258562460939,2
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,red,43.2,0.9638405813063694,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,2,blue,43.8,0.6506576175877756,3
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,green,56.8,0.9842536338794994,2
patrolling,llm,2026-09-13 16-49-26_llm.mp4,1,red,98.6,0.9931965482863903,1
patrolling,llm,2026-09-13 16-49-26_llm.mp4,1,green,110.8,0.9970422028585348,2
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,blue,112.4,0.5602320734526006,3
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,red,6.0,0.9917369441792514,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,2,red,12.0,0.9932270822410154,1
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,green,17.8,0.9992420420603806,2
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1,blue,79.6,0.6842878772592716,3
patrolling,baseline,2026-09-13 16-55-09_base.mp4,2,green,123.8,0.9618750477322923,2
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,red,0.0,0.5424581395324438,1
patrolling,llm,2026-09-13 17-02-34_llm.mp4,2,red,0.4,0.9767772564085427,1
patrolling,llm,2026-09-13 17-02-34_llm.mp4,2,green,16.6,0.9979550974673156,2
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2,red,12.0,0.9549333642469509,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2,green,35.6,0.9816085705926778,2
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,red,40.0,0.9609209212541894,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,green,56.2,0.9958967899988433,2
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,red,126.6,0.9590407793331834,1
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,green,136.4,0.9827554617406102,2
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,red,10.6,0.9534949146739063,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,green,48.8,0.8633316819143151,2
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,red,75.4,0.9758369070684915,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2,red,150.2,0.991320452512708,1
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2,green,160.2,0.9738697212959234,2
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,red,10.2,0.9637930299166934,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,red,22.8,0.9568458658138207,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,green,30.6,0.9981740824490488,2
patrolling,baseline,2026-09-13 17-23-51_base.mp4,2,red,96.0,0.9842923747469549,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,2,green,115.4,0.9604287526646631,2
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,red,10.2,0.9841629758368279,1
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,green,18.8,0.9962628406685655,2
