task,condition,video,robot,color,closest_distance_while_expected_m,closest_time_s,reached
patrolling,baseline,2026-09-13 12-41-54_base.mp4,2,blue,1.054085002400186,86.0,0
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,red,0.9901262849000625,32.4,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,green,0.9938087573517354,50.2,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,blue,1.1516692885933009,53.8,0
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,red,0.9578129108615104,5.8,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,green,0.9995648101313893,14.6,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,blue,1.0564371738276725,82.2,0
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,red,0.9548860176052429,56.8,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,green,0.9997902896512848,107.8,1
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,2,blue,0.9930042441082515,122.8,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,red,0.9686606735322745,36.4,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,green,0.9934705954793025,71.6,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,blue,1.1855081364022768,103.0,0
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,red,0.9559010609105943,31.4,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,green,0.9843195414264618,40.2,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,blue,1.1349668896038332,195.6,0
patrolling,baseline,2026-09-13 12-53-56_base.mp4,2,red,0.9929968051434002,9.0,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,2,green,0.96327393883412,70.6,1
patrolling,baseline,2026-09-13 12-53-56_base.mp4,2,blue,1.1088268770570093,175.8,0
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,red,0.9587583582347535,24.0,1
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,green,0.9810566895801687,68.2,1
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,blue,1.0003117184018193,157.8,0
patrolling,llm,2026-09-13 12-59-50_llm.mp4,1,red,0.9974888788136937,11.6,1
patrolling,llm,2026-09-13 12-59-50_llm.mp4,1,green,0.9568005869835157,20.8,1
patrolling,llm,2026-09-13 12-59-50_llm.mp4,1,blue,1.0789647519826588,98.8,0
patrolling,llm,2026-09-13 12-59-50_llm.mp4,2,red,0.9844051371107324,3.0,1
patrolling,llm,2026-09-13 12-59-50_llm.mp4,2,green,0.9903108065864976,219.2,1
patrolling,llm,2026-09-13 12-59-50_llm.mp4,2,blue,1.1320275595744125,280.8,0
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,red,0.9990666762303705,5.6,1
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,green,0.9583369790699927,121.6,1
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,blue,1.1989241597586562,130.8,0
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,red,0.9982811931525103,111.0,1
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,green,2.169228487116329,111.2,0
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,blue,,,0
patrolling,baseline,2026-09-13 13-06-27_base.mp4,2,red,0.9905094642031442,28.4,1
patrolling,baseline,2026-09-13 13-06-27_base.mp4,2,green,0.9970931184423044,33.2,1
patrolling,baseline,2026-09-13 13-06-27_base.mp4,2,blue,1.1451180159974776,187.6,0
patrolling,llm,2026-09-13 13-11-04_llm.mp4,0,red,0.9930888487663126,6.6,1
patrolling,llm,2026-09-13 13-11-04_llm.mp4,0,green,0.9957355493448051,71.2,1
patrolling,llm,2026-09-13 13-11-04_llm.mp4,0,blue,1.0987425725664772,78.6,0
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,red,0.9964727996011734,47.6,1
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,green,0.9853943611133565,146.0,1
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,blue,1.5904395609673445,213.2,0
patrolling,llm,2026-09-13 13-11-04_llm.mp4,2,red,0.9671960671487452,6.0,1
patrolling,llm,2026-09-13 13-11-04_llm.mp4,2,green,0.9986451913973252,104.8,1
patrolling,llm,2026-09-13 13-11-04_llm.mp4,2,blue,1.0748663819117241,145.4,0
patrolling,baseline,2026-09-13 13-18-40_base.mp4,0,red,1.1328841536648835,13.8,0
patrolling,baseline,2026-09-13 13-18-40_base.mp4,0,green,,,0
patrolling,baseline,2026-09-13 13-18-40_base.mp4,0,blue,,,0
patrolling,baseline,2026-09-13 13-18-40_base.mp4,1,red,0.9903776003212106,24.0,1
patrolling,baseline,2026-09-13 13-18-40_base.mp4,1,green,0.9945029119012174,73.2,1
patrolling,baseline,2026-09-13 13-18-40_base.mp4,1,blue,1.076317471624892,115.4,0
patrolling,baseline,2026-09-13 13-18-40_base.mp4,2,red,0.9716358184366197,22.2,1
patrolling,baseline,2026-09-13 13-18-40_base.mp4,2,green,0.9920530401072315,30.4,1
patrolling,baseline,2026-09-13 13-18-40_base.mp4,2,blue,1.1877432760399023,62.0,0
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,red,0.9949430813915939,6.6,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,green,0.9793298747883679,10.6,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,blue,1.0956232839438929,185.0,0
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,red,0.9921308969853726,219.2,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,green,1.4568209748579268,234.6,0
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,blue,,,0
patrolling,llm,2026-09-13 13-22-01_llm.mp4,2,red,0.956055863896038,7.8,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,2,green,0.9850256265240006,172.4,1
patrolling,llm,2026-09-13 13-22-01_llm.mp4,2,blue,1.0516498409209218,286.0,0
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,red,0.992770110279817,7.0,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,green,0.9970902909892362,8.4,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,blue,1.0492462532704132,56.4,0
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,red,0.9966208679583224,85.6,1
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,green,0.9877426841424843,86.4,1
