task,condition,video,elapsed_s,robot_0_points,robot_1_points,robot_2_points,mean_points,progression_pct
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0.0,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0.2,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0.4,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0.6,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0.8,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1.0,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1.2,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1.4,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1.6,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1.8,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2.0,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2.2,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2.4,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2.6,0,0,0,0.0,0.0
patrolling,baseline,2026-09-13 12-25-28_base.mp4,2.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,3.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,3.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,3.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,3.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,3.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,4.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,4.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,4.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,4.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,4.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,5.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,5.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,5.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,5.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,5.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,6.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,6.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,6.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,6.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,6.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,7.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,7.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,7.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,7.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,7.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,8.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,8.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,8.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,8.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,8.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,9.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,9.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,9.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,9.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,9.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,10.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,10.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,10.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,10.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,10.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,11.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,11.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,11.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,11.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,11.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,12.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,12.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,12.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,12.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,12.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,13.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,13.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,13.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,13.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,13.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,14.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,14.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,14.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,14.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,14.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,15.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,15.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,15.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,15.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,15.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,16.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,16.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,16.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,16.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,16.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,17.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,17.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,17.4,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,17.6,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,17.8,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,18.0,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,18.2,1,0,0,0.3333333333333333,11.11111111111111
patrolling,baseline,2026-09-13 12-25-28_base.mp4,18.4,1,0,0,0.3333333333333333,11.11111111111111
