task,condition,video,robot_i,robot_j,start_s,end_s,closest_time_s,min_marker_distance_m
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,1,62.4,84.6,70.2,0.5137382242553108
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,0,1,11.0,16.4,12.4,0.5394128676894908
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,1,2,47.0,49.8,47.6,0.5479788631325118
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,1,2,54.0,60.8,56.6,0.5690872560741455
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,0,1,18.8,25.6,21.2,0.5739329904109014
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,2,48.4,55.0,48.8,0.5755026658400464
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,2,129.4,138.2,135.0,0.575901353900996
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,0,2,60.0,65.2,61.2,0.5772182616697086
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,0,1,36.2,39.6,36.8,0.5773127022628205
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,1,2,36.2,40.6,37.4,0.5823008096207665
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,219.4,224.0,220.4,0.582803633518186
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,2,69.8,74.8,72.4,0.5834620528706217
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,18.2,36.8,35.0,0.5875298067417516
patrolling,llm,2026-09-13 13-11-04_llm.mp4,0,1,84.2,86.6,85.2,0.5876889046851232
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,1,2,6.2,9.0,6.6,0.592318795725748
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,0,2,11.4,15.6,13.0,0.5936456005707446
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,2,82.2,85.8,83.0,0.5944777725441047
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,1,2,37.0,40.8,37.2,0.5988918261497648
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,0,2,32.2,39.6,35.8,0.5996696693563879
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,0,2,19.4,24.2,20.4,0.6076651987575067
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,1,83.4,93.2,89.4,0.619172906307277
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,2,50.0,51.8,50.6,0.6193133153501545
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,1,2,41.2,44.6,42.2,0.6206462282395665
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0,2,40.6,44.4,41.0,0.6229609858450202
