task,condition,video,robot_i,robot_j,start_s,end_s,closest_time_s,min_marker_distance_m
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,187.0,189.2,187.6,0.6236480702263096
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,1,0.0,5.6,5.0,0.6252467054931197
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,0,1,43.8,46.0,44.4,0.6257506220572219
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,0,2,61.0,63.8,62.2,0.6314690944591036
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,0,1,21.4,25.4,23.0,0.6316231364896319
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,0,1,51.6,53.6,52.2,0.6337666662842091
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,1,2,90.6,91.4,91.4,0.6349892480640913
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,0,1,61.2,65.2,62.0,0.6354929889778487
patrolling,baseline,2026-09-13 12-41-54_base.mp4,1,2,57.0,61.2,58.8,0.6378552802697492
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,1,69.8,74.8,71.2,0.6383959978649614
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,19.8,23.8,20.8,0.6387295418759023
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,2,37.4,39.8,38.0,0.6401573959402485
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,159.6,166.6,164.6,0.6411142093613275
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,2,104.4,110.6,107.4,0.642816347335691
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,1,2,58.8,65.0,59.4,0.6429975651314708
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,1,2,9.6,14.0,10.4,0.6433782101353759
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,2,63.2,65.6,63.6,0.6443085397307721
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,1,2,42.0,46.8,44.6,0.6443746140638998
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,1,247.4,258.0,248.4,0.6444995247919117
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,2,18.6,22.4,19.8,0.6461551935827801
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,0,1,26.6,29.0,27.8,0.6465881575284225
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,62.2,66.2,64.2,0.6471726737386244
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,182.6,196.6,189.8,0.6493387344568319
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0,2,57.2,62.4,61.4,0.6497861335585733
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,0,1,5.6,7.0,6.2,0.6511502555670234
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,0,1,17.2,21.4,17.6,0.6519314386382972
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,1,2,68.0,69.066667,68.4,0.6519873447276411
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,2,112.6,117.6,116.8,0.6536518301144729
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,1,43.6,48.8,45.6,0.6542860433365516
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,1,22.2,26.0,23.0,0.6543108194466911
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,0,1,4.8,7.0,5.2,0.6544049489154248
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,2,67.4,70.4,68.0,0.6544834810726698
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,0,2,64.8,66.8,65.2,0.6552192411292574
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,32.4,40.6,37.8,0.6553480592295975
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,0,1,73.0,74.8,73.6,0.6568449964930844
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,0,1,41.8,46.0,43.6,0.6600603403477595
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,237.2,246.2,243.0,0.6604453525084418
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,2,9.0,12.8,10.6,0.6620581351648811
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,0,1,39.6,42.4,40.0,0.6645366734996645
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,1,2,47.2,50.4,48.0,0.6646652073412599
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,1,2,16.2,17.8,16.8,0.6649722823825064
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,185.2,190.4,186.8,0.6679355764360813
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,0,1,0.0,5.2,0.0,0.6694794630046542
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,234.0,236.2,234.6,0.6698487084028752
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,2,5.8,7.2,6.4,0.6706504535747365
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,1,26.2,27.4,26.6,0.6740260859595867
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,0,1,57.6,59.4,58.8,0.6740846987730846
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,2,103.2,107.0,104.8,0.6761893796156517
patrolling,baseline,2026-09-13 13-18-40_base.mp4,1,2,34.8,37.6,35.6,0.6784245283670101
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,1,47.2,49.8,47.8,0.679043378232201
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,1,2,51.0,53.0,52.0,0.6803539385680074
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,2,35.2,40.0,36.0,0.6821862350450938
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,2,123.2,128.4,123.8,0.6840252817681522
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,1,5.2,7.4,6.2,0.684293294744293
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,2,113.0,115.8,114.2,0.6870292733886965
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,1,93.6,97.0,95.0,0.6873317567150523
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,1,2,57.2,59.2,57.6,0.6887300030120657
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,1,59.6,60.6,60.0,0.6887974275220545
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,0,2,40.8,42.8,41.8,0.6906874967023799
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,1,2,54.2,54.4,54.4,0.6921114321032417
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,2,96.0,97.8,96.4,0.693136405485962
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,0,1,7.6,15.4,11.2,0.6939944828397415
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,0,1,65.4,66.2,65.8,0.6942970121100912
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,1,2,3.4,6.2,4.2,0.6954009957664714
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,0,1,28.8,30.0,29.2,0.6961533994860616
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,1,54.8,56.2,55.4,0.6961994830686101
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,0,1,6.8,9.2,8.0,0.6967212206442401
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,0,2,55.8,60.0,58.0,0.6972315599755935
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,0,2,53.6,55.0,54.0,0.6976778742292177
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,1,2,62.2,66.0,63.4,0.6981022036299555
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,2,46.8,48.0,47.4,0.6983978022710269
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,63.0,65.8,63.4,0.6989860497735274
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,1,2,55.8,58.0,56.4,0.699896956738633
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,1,14.4,16.8,15.0,0.7001274610933355
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,1,139.8,142.4,140.4,0.7008279486500236
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,205.4,209.6,207.6,0.7025554513929841
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,2,48.8,52.0,50.0,0.7074676813607813
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,1,73.6,76.4,74.2,0.7102409588900094
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,1,76.8,80.2,78.6,0.710808768906237
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,2,30.8,34.6,31.4,0.7133565987274528
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,2,83.4,87.6,85.4,0.7134173365183943
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,2,59.8,61.0,60.2,0.7148079530846031
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,1,116.6,119.2,117.4,0.7181330996946179
patrolling,llm,2026-09-13 16-49-26_llm.mp4,0,1,5.8,13.4,10.0,0.7207395878401576
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,1,200.0,202.0,200.4,0.7209680371902766
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,1,2,26.8,28.6,27.2,0.7240475948009218
patrolling,baseline,2026-09-13 16-31-31_base.mp4,0,2,13.8,16.6,14.4,0.724328665472381
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,0,1,26.6,30.0,28.8,0.724797680951726
patrolling,llm,2026-09-13 17-02-34_llm.mp4,1,2,94.6,98.4,97.2,0.72541946526751
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,0,2,14.8,16.0,15.2,0.7257650274882359
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,1,2,67.6,71.8,70.4,0.7258493067434865
patrolling,baseline,2026-09-13 12-41-54_base.mp4,0,1,17.6,21.2,19.2,0.7266525719558143
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,2,68.4,73.8,70.4,0.7279412732851465
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,0,2,28.0,32.0,31.6,0.7281841169333481
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,2,105.2,107.0,106.2,0.7302300270688681
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,0,1,6.2,7.0,6.6,0.7323201778873772
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,1,56.2,59.0,57.8,0.7324567699598389
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,0,1,27.2,30.8,28.2,0.7332941892487626
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,1,150.2,153.6,151.8,0.7348785176353981
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,1,62.2,66.6,64.8,0.7355837053565013
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,0,2,5.2,5.8,5.4,0.7372595959857017
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,1,2,4.0,7.4,5.0,0.7388306229779594
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,1,35.4,37.2,36.0,0.7388403017878762
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,1,2,80.6,82.2,81.6,0.7442047482796652
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,1,2,32.2,36.4,34.0,0.7453339983343037
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,1,121.4,122.8,121.8,0.746655431916222
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,46.8,47.8,47.0,0.7471982451645617
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,1,37.4,39.8,38.0,0.7472255850979675
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,1,131.2,135.0,131.8,0.7472444427267423
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,1,51.6,54.0,52.6,0.7477567976213926
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,2,106.6,109.2,107.0,0.7490616666336625
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,2,36.2,38.8,37.6,0.7520079273318867
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,171.6,172.4,172.0,0.7521054033584655
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,1,44.6,47.0,45.2,0.7522989799760464
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,2,106.4,110.6,108.4,0.7532028462744946
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,1,2,17.6,19.4,18.2,0.7535839943529851
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,2,123.6,125.4,124.0,0.7541352123439139
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,2,71.0,72.6,71.6,0.7556043298724539
patrolling,llm,2026-09-13 16-35-23_llm.mp4,0,2,60.2,64.2,60.6,0.7557107448098114
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,1,133.2,135.8,134.2,0.7557580157193171
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,2,75.4,78.8,77.0,0.756377657817178
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,1,2,54.4,55.2,54.8,0.7567551868365358
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,1,51.0,54.0,52.2,0.7576995392964153
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,2,7.0,9.2,7.2,0.7581036142223568
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,1,2,47.6,51.6,51.4,0.7581436810690966
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,2,52.6,55.6,53.6,0.7582040304990469
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,2,64.4,67.2,65.4,0.758912779605799
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,2,43.4,46.8,44.4,0.7595916676906087
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,0,1,23.6,27.8,26.6,0.7602094495400593
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,1,33.6,42.6,34.6,0.7610065755964267
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,1,2,31.8,32.6,32.2,0.761429865159622
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,1,55.2,62.4,56.4,0.7656089948282999
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,2,102.2,107.6,106.6,0.7659430256128713
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,2,145.2,146.2,145.4,0.7670038429238799
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,2,65.8,66.6,65.8,0.7671058742103334
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,1,27.4,29.0,27.8,0.7673255778852937
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,1,130.6,131.4,130.8,0.7677117003211558
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,1,2,20.4,22.4,21.2,0.7686291558410984
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,2,65.4,68.0,66.6,0.7686549635623254
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,1,43.0,45.0,44.0,0.7689266224192007
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0,1,30.8,32.8,31.2,0.7717210644066932
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,143.8,146.8,145.2,0.7745015376853681
patrolling,baseline,2026-09-13 16-55-09_base.mp4,0,1,73.2,77.4,74.6,0.7753966426216973
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,2,218.2,219.6,219.0,0.7755617947584835
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,2,93.2,98.8,98.2,0.7756006925448174
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,0,2,1.8,3.6,2.8,0.7766325808624048
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,1,2,10.6,12.0,11.2,0.7781991316192792
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,2,94.0,95.8,94.4,0.7786100710169371
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,1,48.2,49.4,49.0,0.7793162749615844
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0,2,44.4,47.6,45.8,0.7801291728784406
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,206.8,208.0,207.2,0.7813346461389
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,2,69.6,70.2,70.0,0.7819627204541147
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,2,13.6,14.6,14.0,0.7824309358384289
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,158.8,163.0,159.8,0.7839629597385326
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,2,30.2,31.4,31.4,0.7840943062221534
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,1,2,11.8,14.8,12.8,0.7841281317061645
patrolling,llm,2026-09-13 12-36-00_llm.mp4,1,2,111.0,113.0,112.2,0.7857425591693503
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,0,1,23.0,25.0,23.4,0.7861805763283649
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,2,121.8,125.2,122.8,0.787181852756401
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,2,81.6,83.0,82.0,0.7886243190727762
patrolling,baseline,2026-09-13 12-53-56_base.mp4,0,1,114.0,116.0,114.6,0.7886341127322608
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,2,112.2,112.8,112.4,0.7891054930090147
patrolling,baseline,2026-09-13 16-31-31_base.mp4,1,2,2.8,4.2,3.2,0.7892126257999172
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,0,1,55.6,57.6,56.0,0.7892340760826282
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,2,62.6,62.8,62.8,0.7892623574914744
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,1,2,65.0,66.0,65.6,0.7893602206306065
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,149.8,150.8,150.4,0.7897063641816495
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,1,70.0,71.6,70.4,0.7897150338299253
patrolling,baseline,2026-09-13 13-06-27_base.mp4,1,2,44.2,46.4,45.0,0.7899965568962942
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,1,2,26.2,26.8,26.4,0.7901006991542282
patrolling,llm,2026-09-13 17-17-42_llm.mp4,1,2,93.2,94.6,93.4,0.7904322958413327
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,115.8,116.6,116.2,0.7908462883297865
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,2,74.2,76.2,75.2,0.7909124954038846
patrolling,llm,2026-09-13 12-36-00_llm.mp4,0,1,155.0,155.8,155.4,0.7915345765435645
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,1,2,34.0,34.8,34.4,0.7927586085795598
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,27.0,29.8,27.4,0.7928498252538119
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,2,57.8,60.6,60.6,0.7930791691584138
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,225.2,226.4,225.8,0.7936606089513325
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,0,2,35.4,36.0,35.6,0.7949060132644613
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,2,126.4,129.6,127.2,0.7955056014818503
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0,1,34.0,35.2,34.8,0.795964652507258
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,2.4,3.8,2.6,0.7967458525477243
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,1,2,21.6,23.4,22.2,0.7974500804871738
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,178.0,179.0,178.4,0.7983925309081993
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,136.0,136.6,136.2,0.7992869388705157
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,1,2,36.4,37.4,36.6,0.7995086223424988
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,0,2,0.0,4.6,2.8,0.7996986548069216
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,87.0,88.8,87.6,0.8005875627169083
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,2,18.8,20.4,19.6,0.8022530250862255
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,2,131.2,132.2,131.4,0.8036806392653737
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,2,33.8,35.4,34.6,0.8040466377020679
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,0,2,43.0,43.8,43.2,0.8041092665956538
patrolling,baseline,2026-09-13 17-23-51_base.mp4,0,1,12.6,14.0,13.2,0.8041698601794275
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,1,10.6,11.2,10.8,0.8055984309815905
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,1,190.0,191.2,190.8,0.8075288118414103
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,2,20.4,22.0,21.4,0.8076185093749398
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,0,2,20.0,22.0,21.2,0.8091295680717642
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,1,186.0,187.0,186.4,0.8096728506909442
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,1,2,67.6,68.6,67.8,0.8097344267035951
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,1,2,27.4,28.6,28.0,0.8115850806920984
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,2,135.0,136.4,135.4,0.8129783779418736
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,1,2,7.8,8.2,8.0,0.8164399548405261
patrolling,baseline,2026-09-13 16-41-51_base.mp4,1,2,213.4,213.8,213.6,0.8170718930700039
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,2,125.8,128.0,126.0,0.8199133466068228
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,0,1,21.8,22.6,22.2,0.8238701349247951
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,2,21.2,21.4,21.2,0.8240769518831359
patrolling,baseline,2026-09-13 12-53-56_base.mp4,1,2,129.2,129.6,129.4,0.8242343062988826
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,2,49.0,50.2,49.4,0.8242374786188745
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,2,83.0,84.2,83.2,0.8244274001717798
patrolling,baseline,2026-09-13 13-18-40_base.mp4,0,2,52.2,53.0,52.6,0.8248837240011466
patrolling,llm,2026-09-13 16-35-23_llm.mp4,1,2,28.0,28.8,28.2,0.8253312487753024
patrolling,llm,2026-09-13 13-11-04_llm.mp4,1,2,41.2,42.6,41.8,0.825427931926222
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,0,2,44.4,46.0,45.6,0.8261807114826636
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,2,63.4,64.2,63.8,0.8265495797167886
patrolling,llm,2026-09-13 17-17-42_llm.mp4,0,2,159.4,160.0,159.6,0.8273274015509215
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,0,1,61.4,62.0,61.4,0.8280521125678023
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,103.0,103.4,103.2,0.8284984086098173
patrolling,baseline,2026-09-13 12-25-28_base.mp4,1,2,9.8,10.8,10.2,0.8287137654075742
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,214.8,215.2,215.0,0.8295248270003738
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,253.2,253.6,253.4,0.8303385158668721
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,2,90.6,91.0,90.8,0.8308769341773786
patrolling,baseline,2026-09-13 12-25-28_base.mp4,0,2,41.4,42.4,42.0,0.832119039804402
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,2,55.4,55.6,55.4,0.8331221459990125
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,1,2,51.8,53.2,53.0,0.8367809711280484
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0,1,183.8,184.0,184.0,0.8369913524929633
patrolling,baseline,2026-09-13 16-41-51_base.mp4,0,1,148.2,149.2,148.6,0.8370025820043808
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,1,2,65.8,66.6,66.4,0.8426023447896406
patrolling,llm,2026-09-13 17-02-34_llm.mp4,0,1,169.0,169.6,169.2,0.845023214654485
patrolling,baseline,2026-09-13 13-18-40_base.mp4,1,2,42.8,43.2,43.0,0.8451800458470372
patrolling,baseline,2026-09-13 13-06-27_base.mp4,0,2,72.6,72.8,72.8,0.8477506727098483
patrolling,llm,2026-09-13 13-22-01_llm.mp4,1,2,16.8,16.8,16.8,0.8486865855013853
patrolling,baseline,2026-09-13 16-55-09_base.mp4,0,1,22.0,22.0,22.0,0.8488667643217044
patrolling,llm,2026-09-13 12-59-50_llm.mp4,0,1,80.4,80.4,80.4,0.8490303309187488
