event,count,percentage
EV_move_forward,3543,48.92970584173457
EV_approach_zone,1389,19.182433365557245
EV_approach_object,926,12.788288910371495
EV_search_zone,599,8.27233807485154
EV_search_object,425,5.8693550614556
EV_full_rotate,103,1.422455461952769
EV_rotate_counterclockwise,64,0.8838558210191962
EV_pick_up_object,45,0.6214611241541224
EV_drop_object,45,0.6214611241541224
EV_rotate_clockwise,35,0.48335865211987294
EV_move_backward,22,0.3038254384753487
EV_claim_green,15,0.20715370805137412
EV_claim_blue,15,0.20715370805137412
EV_claim_red,15,0.20715370805137412
