prompt,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_median_s,duration_success_mean_s,duration_success_median_s,duration_min_s,duration_max_s,progress_mean_pct,collisions_total,selected_events_total
1,3,3,100.0,91.72033333333333,94.036,91.72033333333333,94.036,67.171,113.954,100.0,0,1480
2,3,3,100.0,69.933,65.194,69.933,65.194,64.936,79.669,100.0,0,1299
3,3,3,100.0,94.37566666666667,80.708,94.37566666666667,80.708,61.994,140.425,100.0,0,1538
4,3,3,100.0,70.99866666666667,69.797,70.99866666666667,69.797,62.828,80.371,100.0,0,1400
5,3,3,100.0,94.76633333333334,92.762,94.76633333333334,92.762,64.924,126.613,100.0,0,1524
