task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
patrolling,1004,1,1,S_20260805_105012,True,143.497,30.588,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_1/S_20260805_105012.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105012/robots_3/run_20260806_203127
patrolling,1004,1,2,S_20260805_105028,True,189.591,43.529,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_2/S_20260805_105028.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105028/robots_3/run_20260806_203355
patrolling,1004,1,3,S_20260805_105039,True,179.166,38.824,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_3/S_20260805_105039.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105039/robots_3/run_20260806_203710
patrolling,1004,2,1,S_20260806_150544,True,145.715,40.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_1/S_20260806_150544.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150544/robots_3/run_20260806_204014
patrolling,1004,2,2,S_20260806_150931,True,192.136,42.353,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_2/S_20260806_150931.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150931/robots_3/run_20260806_204244
patrolling,1004,2,3,S_20260806_150749,True,259.172,34.118,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_3/S_20260806_150749.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150749/robots_3/run_20260806_204601
patrolling,1004,3,1,S_20260806_151210,True,122.6,38.824,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_1/S_20260806_151210.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151210/robots_3/run_20260806_205025
patrolling,1004,3,2,S_20260806_151219,True,242.744,34.118,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_2/S_20260806_151219.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151219/robots_3/run_20260806_205232
patrolling,1004,3,3,S_20260806_151234,True,136.605,31.765,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_3/S_20260806_151234.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151234/robots_3/run_20260806_205640
patrolling,1004,4,1,S_20260806_151654,True,205.371,49.412,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_1/S_20260806_151654.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151654/robots_3/run_20260806_205901
patrolling,1004,4,2,S_20260806_151904,True,283.627,37.647,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_2/S_20260806_151904.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151904/robots_3/run_20260806_210231
patrolling,1004,4,3,S_20260806_151722,True,433.404,48.235,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_3/S_20260806_151722.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151722/robots_3/run_20260806_210720
patrolling,1004,5,1,S_20260806_152057,True,183.518,34.118,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_1/S_20260806_152057.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152057/robots_3/run_20260806_211438
patrolling,1004,5,2,S_20260806_152119,True,236.23,60.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_2/S_20260806_152119.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152119/robots_3/run_20260806_211746
patrolling,1004,5,3,S_20260806_152143,True,195.154,40.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_3/S_20260806_152143.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152143/robots_3/run_20260806_212147
