task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
patrolling,1005,1,1,S_20260805_105012,True,430.681,55.294,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_1/S_20260805_105012.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105012/robots_3/run_20260806_213008
patrolling,1005,1,2,S_20260805_105028,True,286.214,45.882,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_2/S_20260805_105028.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105028/robots_3/run_20260806_213724
patrolling,1005,1,3,S_20260805_105039,True,273.014,52.941,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_3/S_20260805_105039.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105039/robots_3/run_20260806_214215
patrolling,1005,2,1,S_20260806_150544,True,151.863,44.706,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_1/S_20260806_150544.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150544/robots_3/run_20260806_214653
patrolling,1005,2,2,S_20260806_150931,True,578.078,81.176,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_2/S_20260806_150931.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150931/robots_3/run_20260806_214929
patrolling,1005,2,3,S_20260806_150749,False,600.14,80.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_3/S_20260806_150749.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150749/robots_3/run_20260806_215912
patrolling,1005,3,1,S_20260806_151210,True,169.269,37.647,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_1/S_20260806_151210.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151210/robots_3/run_20260806_220917
patrolling,1005,3,2,S_20260806_151219,True,170.469,52.941,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_2/S_20260806_151219.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151219/robots_3/run_20260806_221211
patrolling,1005,3,3,S_20260806_151234,True,220.318,42.353,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_3/S_20260806_151234.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151234/robots_3/run_20260806_221506
patrolling,1005,4,1,S_20260806_151654,True,161.121,41.176,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_1/S_20260806_151654.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151654/robots_3/run_20260806_221851
patrolling,1005,4,2,S_20260806_151904,True,332.235,51.765,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_2/S_20260806_151904.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151904/robots_3/run_20260806_222137
patrolling,1005,4,3,S_20260806_151722,True,215.874,45.882,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_3/S_20260806_151722.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151722/robots_3/run_20260806_222714
patrolling,1005,5,1,S_20260806_152057,True,211.01,40.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_1/S_20260806_152057.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152057/robots_3/run_20260806_223055
patrolling,1005,5,2,S_20260806_152119,True,287.202,50.588,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_2/S_20260806_152119.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152119/robots_3/run_20260806_223431
patrolling,1005,5,3,S_20260806_152143,True,307.461,50.588,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_3/S_20260806_152143.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152143/robots_3/run_20260806_223922
