task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
exploration,1004,1,1,S_20260804_190408,False,300.104,61.25,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260804_190408.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190408/robots_3/run_20260807_160455
exploration,1004,1,2,S_20260804_190456,False,300.122,61.25,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260804_190456.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190456/robots_3/run_20260807_160959
exploration,1004,1,3,S_20260804_190511,False,300.092,67.5,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260804_190511.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190511/robots_3/run_20260807_161502
exploration,1004,2,1,S_20260807_101308,False,300.119,55.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260807_101308.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101308/robots_3/run_20260807_162006
exploration,1004,2,2,S_20260807_101313,False,300.105,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260807_101313.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101313/robots_3/run_20260807_162510
exploration,1004,2,3,S_20260807_101316,False,300.105,60.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260807_101316.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101316/robots_3/run_20260807_163013
exploration,1004,3,1,S_20260807_101430,False,300.11,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_1/S_20260807_101430.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101430/robots_3/run_20260807_163517
exploration,1004,3,2,S_20260807_101434,False,300.107,53.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_2/S_20260807_101434.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101434/robots_3/run_20260807_164020
exploration,1004,3,3,S_20260807_101437,False,300.096,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_3/S_20260807_101437.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101437/robots_3/run_20260807_164524
exploration,1004,4,1,S_20260807_102025,False,300.101,65.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_1/S_20260807_102025.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102025/robots_3/run_20260807_165027
exploration,1004,4,2,S_20260807_102029,False,300.092,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_2/S_20260807_102029.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102029/robots_3/run_20260807_165531
exploration,1004,4,3,S_20260807_102032,False,300.095,73.75,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_3/S_20260807_102032.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102032/robots_3/run_20260807_170035
exploration,1004,5,1,S_20260807_102205,False,300.092,55.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_1/S_20260807_102205.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102205/robots_3/run_20260807_170538
exploration,1004,5,2,S_20260807_102209,False,300.099,75.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_2/S_20260807_102209.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102209/robots_3/run_20260807_171042
exploration,1004,5,3,S_20260807_102213,False,300.091,63.75,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_3/S_20260807_102213.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102213/robots_3/run_20260807_171545
