task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
exploration,1002,1,1,S_20260804_190408,False,300.1,67.5,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260804_190408.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190408/robots_3/run_20260807_124247
exploration,1002,1,2,S_20260804_190456,False,300.152,48.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260804_190456.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190456/robots_3/run_20260807_124751
exploration,1002,1,3,S_20260804_190511,False,300.158,55.0,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260804_190511.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190511/robots_3/run_20260807_125255
exploration,1002,2,1,S_20260807_101308,False,300.132,57.5,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260807_101308.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101308/robots_3/run_20260807_125758
exploration,1002,2,2,S_20260807_101313,False,300.129,48.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260807_101313.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101313/robots_3/run_20260807_130302
exploration,1002,2,3,S_20260807_101316,False,300.12,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260807_101316.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101316/robots_3/run_20260807_130805
exploration,1002,3,1,S_20260807_101430,False,300.129,42.5,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_1/S_20260807_101430.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101430/robots_3/run_20260807_131309
exploration,1002,3,2,S_20260807_101434,False,300.12,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_2/S_20260807_101434.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101434/robots_3/run_20260807_131813
exploration,1002,3,3,S_20260807_101437,False,300.108,56.25,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_3/S_20260807_101437.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101437/robots_3/run_20260807_132316
exploration,1002,4,1,S_20260807_102025,False,300.135,56.25,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_1/S_20260807_102025.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102025/robots_3/run_20260807_132820
exploration,1002,4,2,S_20260807_102029,False,300.101,61.25,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_2/S_20260807_102029.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102029/robots_3/run_20260807_133323
exploration,1002,4,3,S_20260807_102032,False,300.135,58.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_3/S_20260807_102032.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102032/robots_3/run_20260807_133827
exploration,1002,5,1,S_20260807_102205,False,300.116,66.25,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_1/S_20260807_102205.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102205/robots_3/run_20260807_134330
exploration,1002,5,2,S_20260807_102209,False,300.124,73.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_2/S_20260807_102209.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102209/robots_3/run_20260807_134834
exploration,1002,5,3,S_20260807_102213,False,300.131,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_3/S_20260807_102213.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102213/robots_3/run_20260807_135338
