event,count,percentage
EV_move_forward,6730,50.6053086698248
EV_approach_object,1962,14.752988946537334
EV_search_object,1784,13.414542446800512
EV_approach_zone,1392,10.466952402436274
EV_search_zone,726,5.459057071960298
EV_full_rotate,254,1.909918038950297
EV_rotate_clockwise,162,1.2181367020076697
EV_rotate_counterclockwise,105,0.7895330475975637
EV_move_backward,53,0.3985262049778179
EV_pick_up_object,43,0.32333258139709753
EV_drop_object,43,0.32333258139709753
EV_claim_green,15,0.11279043537108054
EV_claim_blue,15,0.11279043537108054
EV_claim_red,15,0.11279043537108054
