stamp_sec,stamp_nsec,robot,x,y,elapsed_s
7,400000000,robot_2,3.466544,2.05095,7.4
7,600000000,robot_0,1.764424,1.502345,7.6
7,600000000,robot_1,2.093083,2.524163,7.6
7,600000000,robot_2,3.500722,2.029415,7.6
7,800000000,robot_0,1.769447,1.45805,7.8
7,800000000,robot_1,2.091817,2.528257,7.8
7,800000000,robot_2,3.518209,2.020118,7.8
8,0,robot_0,1.770842,1.413261,8.0
8,0,robot_1,2.084547,2.532367,8.0
8,0,robot_2,3.533959,2.018551,8.0
8,200000000,robot_0,1.776719,1.395061,8.2
8,200000000,robot_1,2.075757,2.540481,8.2
8,200000000,robot_2,3.572746,2.00681,8.2
8,400000000,robot_0,1.789728,1.390862,8.4
8,400000000,robot_1,2.06536,2.544995,8.4
8,400000000,robot_2,3.599602,2.002158,8.4
8,600000000,robot_0,1.810168,1.372533,8.6
8,600000000,robot_1,2.057431,2.547678,8.6
8,600000000,robot_2,3.644651,1.994894,8.6
8,800000000,robot_0,1.839957,1.32659,8.8
8,800000000,robot_1,2.050029,2.545843,8.8
8,800000000,robot_2,3.669909,1.991308,8.8
9,0,robot_0,1.876524,1.268256,9.0
9,0,robot_1,2.041602,2.544433,9.0
9,0,robot_2,3.668663,1.986212,9.0
9,200000000,robot_0,1.905269,1.226148,9.2
9,200000000,robot_1,2.034125,2.540888,9.2
9,200000000,robot_2,3.670609,1.986002,9.2
9,400000000,robot_0,1.935743,1.201043,9.4
9,400000000,robot_1,2.026815,2.536104,9.4
9,400000000,robot_2,3.699555,2.001374,9.4
9,600000000,robot_0,1.979048,1.159278,9.6
9,600000000,robot_1,2.018277,2.530428,9.6
9,600000000,robot_2,3.730133,2.009919,9.6
9,800000000,robot_0,2.03101,1.106828,9.8
9,800000000,robot_1,2.012168,2.521104,9.8
9,800000000,robot_2,3.745421,2.013881,9.8
10,0,robot_0,2.06421,1.071714,10.0
10,0,robot_1,2.003071,2.514668,10.0
10,0,robot_2,3.747204,2.019966,10.0
10,200000000,robot_0,2.082164,1.066249,10.2
10,200000000,robot_1,2.000608,2.505099,10.2
10,200000000,robot_2,3.74508,2.014616,10.2
10,400000000,robot_0,2.09803,1.071405,10.4
10,400000000,robot_1,1.999011,2.494957,10.4
10,400000000,robot_2,3.749452,2.012558,10.4
10,600000000,robot_0,2.1242,1.077222,10.6
10,600000000,robot_1,1.998509,2.487465,10.6
10,600000000,robot_2,3.738228,2.016045,10.6
10,800000000,robot_0,2.17446,1.069792,10.8
10,800000000,robot_1,2.002107,2.479349,10.8
10,800000000,robot_2,3.731778,2.02171,10.8
11,0,robot_0,2.205497,1.073513,11.0
11,0,robot_1,2.003939,2.467561,11.0
11,0,robot_2,3.725266,2.023146,11.0
11,200000000,robot_0,2.255344,1.082139,11.2
11,200000000,robot_1,2.005287,2.464155,11.2
11,200000000,robot_2,3.715365,2.02738,11.2
11,400000000,robot_0,2.298599,1.085772,11.4
11,400000000,robot_1,2.001329,2.457703,11.4
11,400000000,robot_2,3.708427,2.026455,11.4
11,600000000,robot_0,2.318754,1.09615,11.6
11,600000000,robot_1,1.964676,2.434025,11.6
11,600000000,robot_2,3.698005,2.025292,11.6
11,800000000,robot_0,2.320966,1.109198,11.8
11,800000000,robot_1,1.935466,2.411434,11.8
11,800000000,robot_2,3.690385,2.021006,11.8
12,0,robot_0,2.32234,1.124576,12.0
12,0,robot_1,1.912026,2.382538,12.0
12,0,robot_2,3.68075,2.01603,12.0
12,200000000,robot_0,2.31929,1.135993,12.2
12,200000000,robot_1,1.876377,2.347612,12.2
12,200000000,robot_2,3.675157,2.012199,12.2
12,400000000,robot_0,2.312023,1.144135,12.4
12,400000000,robot_1,1.867981,2.327176,12.4
12,400000000,robot_2,3.673777,2.00375,12.4
12,600000000,robot_0,2.302009,1.154607,12.6
12,600000000,robot_1,1.871629,2.318571,12.6
12,600000000,robot_2,3.672119,2.000326,12.6
12,800000000,robot_0,2.298187,1.159039,12.8
12,800000000,robot_1,1.880603,2.30415,12.8
12,800000000,robot_2,3.669504,1.990592,12.8
13,0,robot_0,2.285703,1.164596,13.0
13,0,robot_1,1.873987,2.263184,13.0
13,0,robot_2,3.670951,1.984274,13.0
13,200000000,robot_0,2.27511,1.166294,13.2
13,200000000,robot_1,1.870044,2.229051,13.2
13,200000000,robot_2,3.67003,1.981343,13.2
13,400000000,robot_0,2.265168,1.167338,13.4
13,400000000,robot_1,1.873682,2.216348,13.4
13,400000000,robot_2,3.673381,1.968374,13.4
13,600000000,robot_0,2.252851,1.165165,13.6
13,600000000,robot_1,1.882532,2.187541,13.6
13,600000000,robot_2,3.681433,1.955825,13.6
13,800000000,robot_0,2.24429,1.163008,13.8
13,800000000,robot_1,1.890662,2.139278,13.8
14,0,robot_0,2.236004,1.15464,14.0
14,0,robot_1,1.895415,2.073326,14.0
14,200000000,robot_0,2.231925,1.147176,14.2
14,200000000,robot_1,1.90041,2.035803,14.2
14,200000000,robot_2,3.638261,1.901411,14.2
14,400000000,robot_0,2.226011,1.134559,14.4
14,400000000,robot_1,1.911012,2.021767,14.4
14,600000000,robot_0,2.222853,1.125414,14.6
14,600000000,robot_1,1.919434,2.023148,14.6
14,600000000,robot_2,3.633139,1.871862,14.6
14,800000000,robot_0,2.219418,1.113254,14.8
14,800000000,robot_1,1.942144,2.007034,14.8
15,0,robot_0,2.218862,1.106012,15.0
15,0,robot_1,1.967752,1.974958,15.0
15,0,robot_2,3.637213,1.801359,15.0
15,200000000,robot_0,2.216811,1.105709,15.2
15,200000000,robot_1,1.985648,1.96381,15.2
15,200000000,robot_2,3.639054,1.770917,15.2
15,400000000,robot_0,2.223013,1.09884,15.4
15,400000000,robot_1,1.994267,1.966683,15.4
15,400000000,robot_2,3.650885,1.759105,15.4
15,600000000,robot_0,2.223393,1.089171,15.6
15,600000000,robot_1,2.000703,1.972871,15.6
15,600000000,robot_2,3.661886,1.75599,15.6
15,800000000,robot_0,2.204417,1.046963,15.8
15,800000000,robot_1,2.005738,1.984127,15.8
15,800000000,robot_2,3.677418,1.726846,15.8
16,0,robot_0,2.177953,1.012023,16.0
16,0,robot_1,2.010873,1.9934,16.0
16,0,robot_2,3.69208,1.672703,16.0
16,200000000,robot_0,2.17624,0.994844,16.2
16,200000000,robot_1,2.014756,2.002479,16.2
16,200000000,robot_2,3.707531,1.61329,16.2
16,400000000,robot_0,2.178886,0.968242,16.4
16,400000000,robot_1,2.012143,2.011473,16.4
16,400000000,robot_2,3.727202,1.579937,16.4
16,600000000,robot_0,2.167378,0.908828,16.6
16,600000000,robot_1,2.009868,2.023929,16.6
16,600000000,robot_2,3.728519,1.5723,16.6
16,800000000,robot_0,2.155508,0.841288,16.8
16,800000000,robot_1,2.005926,2.034375,16.8
16,800000000,robot_2,3.723226,1.573252,16.8
17,0,robot_0,2.142845,0.769676,17.0
17,0,robot_1,2.000356,2.043814,17.0
17,200000000,robot_0,2.130474,0.699581,17.2
17,200000000,robot_1,1.996314,2.05277,17.2
17,200000000,robot_2,3.73649,1.569126,17.2
17,400000000,robot_0,2.127589,0.66565,17.4
17,400000000,robot_1,1.987685,2.058178,17.4
17,400000000,robot_2,3.751941,1.572991,17.4
17,600000000,robot_0,2.13072,0.61296,17.6
17,600000000,robot_1,1.978338,2.063063,17.6
17,600000000,robot_2,3.758846,1.581271,17.6
17,800000000,robot_0,2.131831,0.56746,17.8
17,800000000,robot_1,1.97059,2.065333,17.8
17,800000000,robot_2,3.763178,1.587624,17.8
18,0,robot_0,2.142066,0.547271,18.0
18,0,robot_1,1.961993,2.068036,18.0
18,0,robot_2,3.76362,1.593259,18.0
18,200000000,robot_0,2.152798,0.546866,18.2
18,200000000,robot_1,1.950764,2.067345,18.2
18,200000000,robot_2,3.762647,1.592959,18.2
18,400000000,robot_0,2.165276,0.547235,18.4
18,400000000,robot_1,1.941759,2.067269,18.4
18,400000000,robot_2,3.767659,1.596292,18.4
18,600000000,robot_0,2.17705,0.550489,18.6
18,600000000,robot_1,1.932452,2.063019,18.6
18,600000000,robot_2,3.765661,1.598791,18.6
18,800000000,robot_0,2.18376,0.556583,18.8
18,800000000,robot_1,1.921202,2.057968,18.8
18,800000000,robot_2,3.774026,1.616043,18.8
19,0,robot_0,2.192358,0.565647,19.0
19,0,robot_1,1.913693,2.050132,19.0
19,0,robot_2,3.774552,1.631212,19.0
19,200000000,robot_0,2.201945,0.573957,19.2
19,200000000,robot_1,1.908931,2.045773,19.2
