stamp_sec,stamp_nsec,robot,x,y,elapsed_s
7,600000000,robot_0,3.699089,1.468993,7.6
7,600000000,robot_1,2.850863,1.502391,7.6
7,600000000,robot_2,0.445899,1.308255,7.6
7,800000000,robot_0,3.695183,1.393941,7.8
7,800000000,robot_1,2.855274,1.429654,7.8
7,800000000,robot_2,0.377443,1.308556,7.8
8,0,robot_0,3.691847,1.320747,8.0
8,0,robot_1,2.861197,1.352998,8.0
8,0,robot_2,0.304034,1.307818,8.0
8,200000000,robot_0,3.690323,1.244494,8.2
8,200000000,robot_1,2.866956,1.283625,8.2
8,200000000,robot_2,0.235131,1.306269,8.2
8,400000000,robot_1,2.8704,1.210443,8.4
8,400000000,robot_2,0.171641,1.307913,8.4
8,600000000,robot_0,3.682101,1.109072,8.6
8,600000000,robot_1,2.874401,1.149997,8.6
8,600000000,robot_2,0.152406,1.30046,8.6
8,800000000,robot_0,3.678783,1.022628,8.8
8,800000000,robot_1,2.882505,1.064615,8.8
8,800000000,robot_2,0.144528,1.29017,8.8
9,0,robot_0,3.675262,0.963198,9.0
9,0,robot_1,2.885684,1.005643,9.0
9,0,robot_2,0.145951,1.282168,9.0
9,200000000,robot_1,2.893923,0.917862,9.2
9,200000000,robot_2,0.151823,1.276887,9.2
9,400000000,robot_0,3.668233,0.820117,9.4
9,400000000,robot_1,2.895835,0.857944,9.4
9,400000000,robot_2,0.157647,1.263156,9.4
9,600000000,robot_1,2.901469,0.774304,9.6
9,600000000,robot_2,0.166389,1.255544,9.6
9,800000000,robot_0,3.658939,0.660159,9.8
9,800000000,robot_1,2.907526,0.702799,9.8
9,800000000,robot_2,0.175593,1.248956,9.8
10,0,robot_0,3.654973,0.586179,10.0
10,0,robot_1,2.912739,0.628136,10.0
10,0,robot_2,0.184515,1.246411,10.0
10,200000000,robot_0,3.651112,0.527846,10.2
10,200000000,robot_1,2.918135,0.568949,10.2
10,200000000,robot_2,0.192442,1.243996,10.2
10,400000000,robot_0,3.647778,0.44182,10.4
10,400000000,robot_1,2.924261,0.484459,10.4
10,400000000,robot_2,0.204859,1.242307,10.4
10,600000000,robot_1,2.929046,0.412125,10.6
10,600000000,robot_2,0.218151,1.244799,10.6
10,800000000,robot_1,2.933929,0.344081,10.8
10,800000000,robot_2,0.233623,1.253115,10.8
11,0,robot_0,3.635252,0.258105,11.0
11,0,robot_1,2.939105,0.310696,11.0
11,0,robot_2,0.246178,1.260439,11.0
11,200000000,robot_0,3.640997,0.24546,11.2
11,200000000,robot_1,2.948981,0.297826,11.2
11,200000000,robot_2,0.249728,1.269039,11.2
11,400000000,robot_0,3.654799,0.244172,11.4
11,400000000,robot_1,2.962092,0.296214,11.4
11,400000000,robot_2,0.254974,1.2797,11.4
11,600000000,robot_0,3.669405,0.244847,11.6
11,600000000,robot_1,2.969355,0.303902,11.6
11,600000000,robot_2,0.258204,1.292802,11.6
11,800000000,robot_0,3.682972,0.249636,11.8
11,800000000,robot_1,2.977811,0.314785,11.8
11,800000000,robot_2,0.255441,1.300643,11.8
12,0,robot_0,3.690603,0.251331,12.0
12,0,robot_1,2.985618,0.324116,12.0
12,0,robot_2,0.252128,1.319739,12.0
12,200000000,robot_0,3.697467,0.255494,12.2
12,200000000,robot_1,2.994652,0.332157,12.2
12,200000000,robot_2,0.24926,1.330773,12.2
12,400000000,robot_0,3.707895,0.262963,12.4
12,400000000,robot_1,2.993583,0.342214,12.4
12,400000000,robot_2,0.246685,1.336366,12.4
