robot,completed_colors,total_colors,progress_pct,complete,completion_s,red_reached_s,green_reached_s,blue_reached_s
robot_0,3,3,100.000,true,259.605,117.607,132.223,259.605
robot_1,3,3,100.000,true,325.899,100.290,239.891,325.891
robot_2,3,3,100.000,true,73.800,31.292,46.892,73.800
