stamp_sec,stamp_nsec,robot,x,y,elapsed_s
0,0,robot_0,2.310375,0.829607,0.0
0,0,robot_1,3.454119,1.716339,0.0
0,0,robot_2,0.916137,1.637712,0.0
0,200000000,robot_0,2.310625,0.826875,0.2
0,200000000,robot_1,3.454136,1.716329,0.2
0,200000000,robot_2,0.917611,1.638413,0.2
0,400000000,robot_0,2.311057,0.827031,0.4
0,400000000,robot_1,3.454156,1.716319,0.4
0,400000000,robot_2,0.917611,1.638412,0.4
0,600000000,robot_0,2.30958,0.826748,0.6
0,600000000,robot_1,3.453579,1.717923,0.6
0,600000000,robot_2,0.917624,1.638403,0.6
0,800000000,robot_0,2.309992,0.826442,0.8
0,800000000,robot_1,3.453563,1.717913,0.8
0,800000000,robot_2,0.916314,1.63967,0.8
1,0,robot_0,2.310001,0.826473,1.0
1,0,robot_1,3.453591,1.717943,1.0
1,0,robot_2,0.915274,1.639633,1.0
1,200000000,robot_0,2.309536,0.826788,1.2
1,200000000,robot_1,3.452604,1.71833,1.2
1,200000000,robot_2,0.916295,1.63961,1.2
1,400000000,robot_0,2.309681,0.827099,1.4
1,400000000,robot_1,3.453877,1.718046,1.4
1,400000000,robot_2,0.916968,1.637828,1.4
1,600000000,robot_0,2.309679,0.827107,1.6
1,600000000,robot_1,3.454093,1.716327,1.6
1,600000000,robot_2,0.916954,1.637822,1.6
1,800000000,robot_0,2.30968,0.827121,1.8
1,800000000,robot_1,3.454098,1.716352,1.8
1,800000000,robot_2,0.916714,1.637925,1.8
2,0,robot_0,2.310072,0.826791,2.0
2,0,robot_1,3.45409,1.716381,2.0
2,0,robot_2,0.917391,1.667521,2.0
2,200000000,robot_0,2.309567,0.826887,2.2
2,200000000,robot_1,3.454091,1.716376,2.2
2,200000000,robot_2,0.916413,1.726969,2.2
2,400000000,robot_0,2.309537,0.82721,2.4
2,400000000,robot_1,3.454094,1.716369,2.4
2,400000000,robot_2,0.918895,1.800087,2.4
2,600000000,robot_0,2.309633,0.827116,2.6
2,600000000,robot_1,3.452858,1.717826,2.6
2,600000000,robot_2,0.917717,1.871256,2.6
2,800000000,robot_0,2.309738,0.827012,2.8
2,800000000,robot_1,3.453757,1.718054,2.8
2,800000000,robot_2,0.919499,1.945886,2.8
3,0,robot_0,2.310623,0.828897,3.0
3,0,robot_1,3.453762,1.718056,3.0
3,0,robot_2,0.918261,2.020229,3.0
3,200000000,robot_0,2.310606,0.82891,3.2
3,200000000,robot_1,3.453107,1.717413,3.2
3,200000000,robot_2,0.922535,2.092391,3.2
3,400000000,robot_0,2.30975,0.826751,3.4
3,400000000,robot_1,3.452627,1.71906,3.4
3,400000000,robot_2,0.920501,2.165259,3.4
3,600000000,robot_0,2.310975,0.828754,3.6
3,600000000,robot_1,3.422635,1.717958,3.6
3,600000000,robot_2,0.922546,2.239933,3.6
3,800000000,robot_0,2.310972,0.828763,3.8
3,800000000,robot_1,3.359697,1.718485,3.8
3,800000000,robot_2,0.922921,2.313701,3.8
4,0,robot_0,2.310959,0.828774,4.0
4,0,robot_1,3.289214,1.720115,4.0
4,0,robot_2,0.92416,2.387394,4.0
4,200000000,robot_0,2.310937,0.828938,4.2
