prompt,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_median_s,duration_success_mean_s,duration_success_median_s,duration_min_s,duration_max_s,progress_mean_pct,collisions_total,selected_events_total
1,3,3,100.0,111.14766666666667,110.364,111.14766666666667,110.364,86.104,136.975,100.0,1,2044
2,3,3,100.0,105.66033333333333,89.494,105.66033333333333,89.494,88.858,138.629,100.0,1,1994
3,3,3,100.0,99.45,99.785,99.45,99.785,98.484,100.081,100.0,0,1912
4,3,3,100.0,130.681,129.788,130.681,129.788,89.467,172.788,100.0,0,2186
5,3,3,100.0,127.96733333333334,90.896,127.96733333333334,90.896,77.242,215.764,100.0,0,2264
