event,count,percentage
EV_move_forward,5523,53.10576923076923
EV_approach_zone,1457,14.009615384615385
EV_approach_object,1426,13.711538461538462
EV_search_object,953,9.163461538461538
EV_search_zone,711,6.836538461538462
EV_full_rotate,89,0.8557692307692307
EV_rotate_clockwise,49,0.47115384615384615
EV_pick_up_object,45,0.4326923076923077
EV_drop_object,45,0.4326923076923077
EV_rotate_counterclockwise,38,0.36538461538461536
EV_move_backward,19,0.18269230769230768
EV_claim_red,15,0.14423076923076922
EV_claim_green,15,0.14423076923076922
EV_claim_blue,15,0.14423076923076922
