task,seed,prompt,generation,supervisor,success,duration_s,progress_pct,collisions,selected_events,yaml,run
delivery,1006,1,1,S_20260830_144119,True,110.364,100.0,1,687,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_1/S_20260830_144119.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144119/robots_3/run_20260830_231723
delivery,1006,1,2,S_20260830_144242,True,86.104,100.0,0,554,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_2/S_20260830_144242.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144242/robots_3/run_20260830_231922
delivery,1006,1,3,S_20260830_144409,True,136.975,100.0,0,803,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_3/S_20260830_144409.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144409/robots_3/run_20260830_232057
delivery,1006,2,1,S_20260830_144541,True,89.494,100.0,0,550,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_1/S_20260830_144541.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144541/robots_3/run_20260830_232323
delivery,1006,2,2,S_20260830_144723,True,88.858,100.0,0,600,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_2/S_20260830_144723.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144723/robots_3/run_20260830_232502
delivery,1006,2,3,S_20260830_144849,True,138.629,100.0,1,844,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_3/S_20260830_144849.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144849/robots_3/run_20260830_232640
delivery,1006,3,1,S_20260830_145012,True,99.785,100.0,0,644,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_1/S_20260830_145012.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145012/robots_3/run_20260830_232907
delivery,1006,3,2,S_20260830_145143,True,98.484,100.0,0,632,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_2/S_20260830_145143.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145143/robots_3/run_20260830_233056
delivery,1006,3,3,S_20260830_145729,True,100.081,100.0,0,636,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_3/S_20260830_145729.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145729/robots_3/run_20260830_233243
delivery,1006,4,1,S_20260830_145853,True,172.788,100.0,0,912,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_1/S_20260830_145853.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145853/robots_3/run_20260830_233433
delivery,1006,4,2,S_20260830_150013,True,129.788,100.0,0,723,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_2/S_20260830_150013.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150013/robots_3/run_20260830_233734
delivery,1006,4,3,S_20260830_150128,True,89.467,100.0,0,551,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_3/S_20260830_150128.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150128/robots_3/run_20260830_233953
delivery,1006,5,1,S_20260830_150328,True,215.764,100.0,0,1083,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_1/S_20260830_150328.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150328/robots_3/run_20260830_234132
delivery,1006,5,2,S_20260830_150451,True,90.896,100.0,0,612,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_2/S_20260830_150451.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150451/robots_3/run_20260830_234517
delivery,1006,5,3,S_20260830_150614,True,77.242,100.0,0,569,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_3/S_20260830_150614.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150614/robots_3/run_20260830_234656
