prompt,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_median_s,duration_success_mean_s,duration_success_median_s,duration_min_s,duration_max_s,progress_mean_pct,collisions_total,selected_events_total
1,3,2,66.66666666666667,298.08366666666666,197.874,147.0565,147.0565,96.239,600.138,88.889,1,4402
2,3,3,100.0,113.592,132.718,113.592,132.718,71.632,136.426,100.0,0,2361
3,3,3,100.0,148.20066666666668,120.63,148.20066666666668,120.63,83.705,240.267,100.0,0,2487
4,3,2,66.66666666666667,305.977,173.241,158.905,158.905,144.569,600.121,88.889,0,2538
5,3,2,66.66666666666667,280.8523333333333,124.962,121.213,121.213,117.464,600.131,88.889,0,4192
