event,count,percentage
EV_move_forward,7901,49.44305381727159
EV_search_object,3012,18.848560700876096
EV_approach_object,1910,11.95244055068836
EV_approach_zone,1470,9.198998748435544
EV_search_zone,782,4.8936170212765955
EV_full_rotate,359,2.246558197747184
EV_rotate_counterclockwise,193,1.2077596996245306
EV_rotate_clockwise,162,1.0137672090112642
EV_move_backward,60,0.37546933667083854
EV_pick_up_object,43,0.2690863579474343
EV_drop_object,43,0.2690863579474343
EV_claim_green,18,0.11264080100125157
EV_claim_red,15,0.09386733416770963
EV_claim_blue,12,0.07509386733416772
