event,count,percentage
EV_move_forward,6401,49.922009046950556
EV_approach_object,2034,15.86335985025737
EV_approach_zone,1685,13.141475588831696
EV_search_zone,1301,10.14662299173296
EV_search_object,763,5.95070971767275
EV_full_rotate,212,1.6534082046482608
EV_rotate_counterclockwise,154,1.2010606769614725
EV_rotate_clockwise,103,0.8033068164092966
EV_pick_up_object,45,0.3509592887225082
EV_drop_object,45,0.3509592887225082
EV_move_backward,34,0.2651692403681173
EV_claim_green,16,0.12478552487911403
EV_claim_red,15,0.1169864295741694
EV_claim_blue,14,0.10918733426922476
