task,seed,prompt,generation,supervisor,success,duration_s,progress_pct,collisions,selected_events,yaml,run
delivery,1004,1,1,S_20260830_144119,True,93.864,100.0,0,780,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_1/S_20260830_144119.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144119/robots_3/run_20260830_211728
delivery,1004,1,2,S_20260830_144242,True,196.354,100.0,0,1322,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_2/S_20260830_144242.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144242/robots_3/run_20260830_211909
delivery,1004,1,3,S_20260830_144409,True,278.404,100.0,0,1211,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_1/generation_3/S_20260830_144409.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144409/robots_3/run_20260830_212234
delivery,1004,2,1,S_20260830_144541,True,95.781,100.0,0,726,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_1/S_20260830_144541.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144541/robots_3/run_20260830_212721
delivery,1004,2,2,S_20260830_144723,True,151.176,100.0,0,910,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_2/S_20260830_144723.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144723/robots_3/run_20260830_212906
delivery,1004,2,3,S_20260830_144849,True,83.449,100.0,0,671,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_2/generation_3/S_20260830_144849.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_144849/robots_3/run_20260830_213146
delivery,1004,3,1,S_20260830_145012,False,600.129,66.667,0,650,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_1/S_20260830_145012.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145012/robots_3/run_20260830_213318
delivery,1004,3,2,S_20260830_145143,True,166.998,100.0,0,1051,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_2/S_20260830_145143.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145143/robots_3/run_20260830_214327
delivery,1004,3,3,S_20260830_145729,True,134.158,100.0,0,925,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_3/generation_3/S_20260830_145729.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145729/robots_3/run_20260830_214623
delivery,1004,4,1,S_20260830_145853,True,124.544,100.0,0,791,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_1/S_20260830_145853.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_145853/robots_3/run_20260830_214846
delivery,1004,4,2,S_20260830_150013,True,96.984,100.0,0,681,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_2/S_20260830_150013.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150013/robots_3/run_20260830_215059
delivery,1004,4,3,S_20260830_150128,True,132.282,100.0,1,844,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_4/generation_3/S_20260830_150128.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150128/robots_3/run_20260830_215245
delivery,1004,5,1,S_20260830_150328,True,86.603,100.0,0,697,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_1/S_20260830_150328.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150328/robots_3/run_20260830_215506
delivery,1004,5,2,S_20260830_150451,True,112.477,100.0,0,772,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_2/S_20260830_150451.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150451/robots_3/run_20260830_215639
delivery,1004,5,3,S_20260830_150614,True,122.003,100.0,0,791,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/delivery/prompt_5/generation_3/S_20260830_150614.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_delivery/S_20260830_150614/robots_3/run_20260830_215840
