prompt,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_median_s,duration_success_mean_s,duration_success_median_s,duration_min_s,duration_max_s,progress_mean_pct,collisions_total,selected_events_total
1,3,3,100.0,189.54066666666668,196.354,189.54066666666668,196.354,93.864,278.404,100.0,0,3313
2,3,3,100.0,110.13533333333334,95.781,110.13533333333334,95.781,83.449,151.176,100.0,0,2307
3,3,2,66.66666666666667,300.42833333333334,166.998,150.57799999999997,150.57799999999997,134.158,600.129,88.889,0,2626
4,3,3,100.0,117.93666666666667,124.544,117.93666666666667,124.544,96.984,132.282,100.0,1,2316
5,3,3,100.0,107.02766666666666,112.477,107.02766666666666,112.477,86.603,122.003,100.0,0,2260
