task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
exploration,1003,1,1,S_20260804_190408,False,300.087,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_1/S_20260804_190408.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190408/robots_3/run_20260807_143322
exploration,1003,1,2,S_20260804_190456,False,300.132,67.5,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_2/S_20260804_190456.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190456/robots_3/run_20260807_143825
exploration,1003,1,3,S_20260804_190511,False,300.141,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_1/generation_3/S_20260804_190511.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260804_190511/robots_3/run_20260807_144329
exploration,1003,2,1,S_20260807_101308,False,300.125,56.25,3,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_1/S_20260807_101308.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101308/robots_3/run_20260807_144832
exploration,1003,2,2,S_20260807_101313,False,300.157,63.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_2/S_20260807_101313.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101313/robots_3/run_20260807_145336
exploration,1003,2,3,S_20260807_101316,False,300.111,62.5,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_2/generation_3/S_20260807_101316.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101316/robots_3/run_20260807_145840
exploration,1003,3,1,S_20260807_101430,False,300.09,58.75,1,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_1/S_20260807_101430.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101430/robots_3/run_20260807_150343
exploration,1003,3,2,S_20260807_101434,False,300.091,56.25,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_2/S_20260807_101434.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101434/robots_3/run_20260807_150847
exploration,1003,3,3,S_20260807_101437,False,300.093,66.25,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_3/generation_3/S_20260807_101437.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_101437/robots_3/run_20260807_151351
exploration,1003,4,1,S_20260807_102025,False,300.092,53.75,5,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_1/S_20260807_102025.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102025/robots_3/run_20260807_151854
exploration,1003,4,2,S_20260807_102029,False,300.086,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_2/S_20260807_102029.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102029/robots_3/run_20260807_152358
exploration,1003,4,3,S_20260807_102032,False,300.089,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_4/generation_3/S_20260807_102032.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102032/robots_3/run_20260807_152901
exploration,1003,5,1,S_20260807_102205,False,300.09,68.75,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_1/S_20260807_102205.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102205/robots_3/run_20260807_153405
exploration,1003,5,2,S_20260807_102209,False,300.157,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_2/S_20260807_102209.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102209/robots_3/run_20260807_153909
exploration,1003,5,3,S_20260807_102213,False,300.092,70.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/exploration/prompt_5/generation_3/S_20260807_102213.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_exploration/S_20260807_102213/robots_3/run_20260807_154413
