task,seed,prompt,generation,supervisor,success,duration_s,coverage_pct,collisions,yaml,run
patrolling,1001,1,1,S_20260805_105012,True,256.375,52.941,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_1/S_20260805_105012.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105012/robots_3/run_20260805_170623
patrolling,1001,1,2,S_20260805_105028,True,347.292,51.765,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_2/S_20260805_105028.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105028/robots_3/run_20260806_165921
patrolling,1001,1,3,S_20260805_105039,True,159.508,41.176,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_3/S_20260805_105039.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260805_105039/robots_3/run_20260806_170513
patrolling,1001,2,1,S_20260806_150544,True,282.201,51.765,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_1/S_20260806_150544.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150544/robots_3/run_20260806_152409
patrolling,1001,2,2,S_20260806_150931,False,600.105,76.471,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_2/S_20260806_150931.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150931/robots_3/run_20260806_152856
patrolling,1001,2,3,S_20260806_150749,False,600.105,72.941,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_3/S_20260806_150749.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_150749/robots_3/run_20260806_153901
patrolling,1001,3,1,S_20260806_151210,True,220.854,49.412,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_1/S_20260806_151210.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151210/robots_3/run_20260806_154906
patrolling,1001,3,2,S_20260806_151219,False,600.108,58.824,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_2/S_20260806_151219.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151219/robots_3/run_20260806_155251
patrolling,1001,3,3,S_20260806_151234,True,201.589,49.412,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_3/S_20260806_151234.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151234/robots_3/run_20260806_160256
patrolling,1001,4,1,S_20260806_151654,True,245.172,50.588,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_1/S_20260806_151654.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151654/robots_3/run_20260806_160622
patrolling,1001,4,2,S_20260806_151904,True,163.326,42.353,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_2/S_20260806_151904.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151904/robots_3/run_20260806_161032
patrolling,1001,4,3,S_20260806_151722,True,549.264,47.059,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_3/S_20260806_151722.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_151722/robots_3/run_20260806_161320
patrolling,1001,5,1,S_20260806_152057,True,177.295,41.176,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_1/S_20260806_152057.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152057/robots_3/run_20260806_162234
patrolling,1001,5,2,S_20260806_152119,True,407.576,55.294,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_2/S_20260806_152119.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152119/robots_3/run_20260806_162536
patrolling,1001,5,3,S_20260806_152143,True,163.793,40.0,0,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_3/S_20260806_152143.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260806_152143/robots_3/run_20260806_163228
