robot,completed_colors,total_colors,progress_pct,complete,completion_s,red_reached_s,green_reached_s,blue_reached_s
robot_0,3,3,100.000,true,139.147,93.247,113.647,139.148
robot_1,3,3,100.000,true,163.326,23.717,137.026,163.317
robot_2,3,3,100.000,true,66.973,23.772,39.097,66.973
