task,condition,video,duration_s,robot_collision_estimates,wall_collision_estimates,pillar_collision_estimates,total_collision_estimates,common_cutoff_s,collisions_at_common_cutoff,collisions_per_minute,completion_time_s,robots_completed,robot_0_points,robot_1_points,robot_2_points,mean_task_progression_points,task_progression_pct,success_under_5_min_rule,progression_basis,observed_robot_0_points,observed_robot_1_points,observed_robot_2_points,observed_mean_task_progression_points,recording_duration_completion_proxy_s
patrolling,baseline,2026-09-13 13-06-27_base.mp4,192.29999999999998,0,0,0,0,122.2,0,0.0,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,2,1,2,1.6666666666666667,192.29999999999998
patrolling,llm,2026-09-13 13-11-04_llm.mp4,325.53333333333336,0,5,0,5,122.2,3,0.9215646119189023,,0,2,2,2,2.0,66.66666666666666,0,observed ordered 1 m reaches,2,2,2,2.0,
patrolling,baseline,2026-09-13 13-18-40_base.mp4,122.89999999999999,0,3,0,3,122.2,3,1.4646053702196908,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,0,2,2,1.3333333333333333,122.89999999999999
patrolling,llm,2026-09-13 13-22-01_llm.mp4,290.3666666666667,0,3,0,3,122.2,1,0.6199058661462519,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,2,1,2,1.6666666666666667,290.3666666666667
patrolling,baseline,2026-09-13 16-31-31_base.mp4,142.5,0,2,0,2,122.2,2,0.8421052631578948,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,2,2,2,2.0,142.5
patrolling,llm,2026-09-13 16-35-23_llm.mp4,254.53333333333333,0,0,2,2,122.2,0,0.47145102147721324,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,2,2,2,2.0,254.53333333333333
patrolling,baseline,2026-09-13 16-41-51_base.mp4,323.90000000000003,0,0,2,2,122.2,0,0.37048471750540285,,1,2,2,3,2.3333333333333335,77.77777777777779,0,observed ordered 1 m reaches,2,2,3,2.3333333333333335,
patrolling,llm,2026-09-13 16-49-26_llm.mp4,129.83333333333334,0,2,1,3,122.2,3,1.3863928112965338,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,3,2,3,2.6666666666666665,129.83333333333334
patrolling,baseline,2026-09-13 16-55-09_base.mp4,152.03333333333333,0,1,0,1,122.2,1,0.394650295987722,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,0,3,2,1.6666666666666667,152.03333333333333
patrolling,llm,2026-09-13 17-02-34_llm.mp4,311.06666666666666,0,0,0,0,122.2,0,0.0,,0,0,1,2,1.0,33.33333333333333,0,observed ordered 1 m reaches,0,1,2,1.0,
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,313.06666666666666,0,2,0,2,122.2,2,0.383304940374787,,0,2,2,2,2.0,66.66666666666666,0,observed ordered 1 m reaches,2,2,2,2.0,
patrolling,llm,2026-09-13 17-17-42_llm.mp4,199.79999999999998,0,1,0,1,122.2,1,0.30030030030030036,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,2,1,2,1.6666666666666667,199.79999999999998
patrolling,baseline,2026-09-13 17-23-51_base.mp4,129.63333333333333,0,0,0,0,122.2,0,0.0,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,1,2,2,1.6666666666666667,129.63333333333333
patrolling,llm,2026-09-13 17-30-52_llm.mp4,209.96666666666667,0,5,0,5,122.2,5,1.4287982219399904,,3,3,3,3,3.0,100.0,1,all reaches credited: recording < 300 s,0,2,0,0.6666666666666666,209.96666666666667
