task,condition,video,elapsed_s,contact_type,robot,other,distance_m
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,64.4,wall,1,right,0.1488290000000001
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,11.0,wall,1,right,0.14836099999999997
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,17.2,wall,2,right,0.14952299999999985
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,23.4,wall,2,right,0.1435719999999998
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,25.6,wall,2,right,0.050727999999999884
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,38.6,wall,0,left,0.148932
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,45.8,wall,0,left,0.147434
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,51.6,wall,1,right,0.1437590000000002
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,54.6,wall,0,top,0.13573600000000008
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,57.8,wall,0,top,0.1412049999999998
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,3.8,wall,2,right,0.13233400000000017
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,16.2,wall,1,right,0.14785799999999982
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,24.0,wall,1,right,0.14264600000000005
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,30.2,wall,1,right,0.14800600000000008
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,31.8,wall,1,right,0.13323099999999988
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,40.0,wall,1,right,0.14614800000000017
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,8.8,wall,2,left,0.144528
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,57.6,wall,1,right,0.10295999999999994
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,63.4,wall,1,right,0.1479680000000001
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,30.2,wall,2,right,0.11668700000000021
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,0.0,wall,0,left,0.05322
