task,condition,video,elapsed_s,contact_type,robot,other,distance_m
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,8.4,wall,0,left,0.149519
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,49.2,wall,2,right,0.14609899999999998
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,29.4,wall,0,right,0.1493000000000002
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,61.6,wall,1,right,0.11843100000000018
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,0.0,wall,2,right,0.1252559999999998
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,5.4,wall,2,right,0.1479569999999999
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,45.0,wall,1,right,0.12936499999999995
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,10.8,wall,2,right,0.1489410000000002
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,14.0,wall,2,right,0.1464859999999999
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,60.0,wall,2,right,0.1358579999999998
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,8.4,wall,1,right,0.13091600000000003
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,7.6,wall,1,right,0.14196700000000018
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,49.6,wall,0,left,0.149169
patrolling,baseline,2026-09-13 12-25-28_base.mp4,57.8,wall,0,bottom,0.14973
patrolling,baseline,2026-09-13 12-25-28_base.mp4,130.0,wall,1,bottom,0.071818
patrolling,llm,2026-09-13 12-36-00_llm.mp4,53.6,wall,0,right,0.1148889999999998
patrolling,llm,2026-09-13 12-36-00_llm.mp4,57.2,wall,0,right,0.11403499999999989
patrolling,llm,2026-09-13 12-36-00_llm.mp4,63.0,wall,0,right,0.12022399999999989
patrolling,llm,2026-09-13 12-36-00_llm.mp4,72.0,wall,0,right,0.14790599999999987
patrolling,llm,2026-09-13 12-36-00_llm.mp4,81.8,wall,0,right,0.13510100000000014
patrolling,llm,2026-09-13 12-36-00_llm.mp4,117.4,wall,2,bottom,0.106551
patrolling,llm,2026-09-13 12-36-00_llm.mp4,179.6,wall,0,bottom,0.143919
patrolling,baseline,2026-09-13 12-41-54_base.mp4,51.0,wall,0,bottom,0.149835
patrolling,baseline,2026-09-13 12-41-54_base.mp4,86.6,wall,2,bottom,0.122024
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,27.6,wall,1,right,0.12958800000000004
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,41.6,wall,1,right,0.14934199999999986
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,93.4,wall,1,bottom,0.088792
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,100.6,wall,2,right,0.14392899999999997
patrolling,baseline,2026-09-13 12-53-56_base.mp4,135.4,wall,0,right,0.0700639999999999
patrolling,baseline,2026-09-13 12-53-56_base.mp4,136.2,wall,0,right,0.0601560000000001
patrolling,baseline,2026-09-13 12-53-56_base.mp4,136.4,pillar,0,green,0.033794331477334995
patrolling,llm,2026-09-13 13-11-04_llm.mp4,0.0,wall,0,left,0.104359
patrolling,llm,2026-09-13 13-11-04_llm.mp4,4.6,wall,1,top,0.14438400000000007
patrolling,llm,2026-09-13 13-11-04_llm.mp4,95.0,wall,2,right,0.1493549999999999
patrolling,llm,2026-09-13 13-11-04_llm.mp4,156.0,wall,2,left,0.060259
patrolling,llm,2026-09-13 13-11-04_llm.mp4,166.8,wall,1,right,0.14233299999999982
patrolling,baseline,2026-09-13 13-18-40_base.mp4,60.2,wall,0,bottom,0.113563
patrolling,baseline,2026-09-13 13-18-40_base.mp4,80.2,wall,2,left,0.055124
patrolling,baseline,2026-09-13 13-18-40_base.mp4,80.2,wall,2,bottom,0.144371
patrolling,llm,2026-09-13 13-22-01_llm.mp4,0.0,wall,0,top,0.12410500000000013
patrolling,llm,2026-09-13 13-22-01_llm.mp4,194.0,wall,0,bottom,0.052372
patrolling,llm,2026-09-13 13-22-01_llm.mp4,257.0,wall,2,right,0.1499999999999999
patrolling,baseline,2026-09-13 16-31-31_base.mp4,67.0,wall,0,bottom,0.084244
patrolling,baseline,2026-09-13 16-31-31_base.mp4,89.6,wall,2,bottom,0.112683
patrolling,llm,2026-09-13 16-35-23_llm.mp4,216.4,pillar,2,green,0.32277899698245577
patrolling,llm,2026-09-13 16-35-23_llm.mp4,219.8,pillar,2,green,0.3191571357466414
patrolling,baseline,2026-09-13 16-41-51_base.mp4,279.2,pillar,1,red,0.29077512718422094
patrolling,baseline,2026-09-13 16-41-51_base.mp4,280.6,pillar,1,red,0.18393593378673953
patrolling,llm,2026-09-13 16-49-26_llm.mp4,74.0,pillar,0,green,0.29358568856298145
patrolling,llm,2026-09-13 16-49-26_llm.mp4,112.4,wall,0,left,0.030318
patrolling,llm,2026-09-13 16-49-26_llm.mp4,112.4,wall,0,bottom,0.110449
patrolling,baseline,2026-09-13 16-55-09_base.mp4,1.2,wall,2,right,0.08767300000000011
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,2.4,wall,2,top,0.1471079999999998
patrolling,baseline,2026-09-13 17-10-48_baseline.mp4,54.4,wall,2,bottom,0.035349
patrolling,llm,2026-09-13 17-17-42_llm.mp4,2.2,wall,2,top,0.1385909999999999
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0.0,wall,2,left,0.058582
patrolling,llm,2026-09-13 17-30-52_llm.mp4,58.6,wall,0,right,0.13036899999999996
patrolling,llm,2026-09-13 17-30-52_llm.mp4,75.4,wall,0,right,0.14285399999999981
patrolling,llm,2026-09-13 17-30-52_llm.mp4,86.4,wall,1,left,0.027933
patrolling,llm,2026-09-13 17-30-52_llm.mp4,86.4,wall,1,bottom,0.08722
