event,count,percentage
EV_move_forward,10211,49.067755886592984
EV_search_object,4740,22.77751081210956
EV_approach_object,2298,11.042767900048053
EV_approach_zone,1438,6.910139356078808
EV_search_zone,832,3.9980778471888514
EV_full_rotate,489,2.3498318116290244
EV_rotate_clockwise,311,1.494473810667948
EV_rotate_counterclockwise,275,1.3214800576645844
EV_move_backward,87,0.4180682364247958
EV_pick_up_object,42,0.20182604517059105
EV_drop_object,42,0.20182604517059105
EV_claim_green,17,0.08169149447381067
EV_claim_blue,17,0.08169149447381067
EV_claim_red,11,0.05285920230658337
