event,count,percentage
EV_move_forward,8161,49.02679322359726
EV_search_object,3057,18.364772317673914
EV_approach_object,2011,12.080980415715487
EV_approach_zone,1471,8.836957827706357
EV_search_zone,1025,6.157635467980295
EV_full_rotate,321,1.928391205094317
EV_rotate_counterclockwise,233,1.3997356722335696
EV_rotate_clockwise,171,1.027273819536225
EV_move_backward,67,0.4024990988826144
EV_pick_up_object,42,0.2523128679562658
EV_drop_object,42,0.2523128679562658
EV_claim_green,17,0.1021266370299171
EV_claim_red,16,0.09611918779286314
EV_claim_blue,12,0.07208939084464737
