robot,completed_colors,total_colors,progress_pct,complete,red_reached_s,green_reached_s,blue_reached_s
robot_0,3,3,100.000,true,25.630,136.645,184.145
robot_1,3,3,100.000,true,57.993,86.944,152.543
robot_2,0,3,0.000,false,,,
