robot,completed_colors,total_colors,progress_pct,complete,red_reached_s,green_reached_s,blue_reached_s
robot_0,2,3,66.667,false,64.825,155.526,
robot_1,2,3,66.667,false,176.472,254.262,
robot_2,3,3,100.000,true,17.080,130.820,315.780
