task,collision_control,prompt,event,runs,mean_pct,sd_pct,event_count,total_selected_events,pooled_pct
exploration,baseline,0,full_rotate,10,6.810438024614154,2.573795222002494,342,5060,6.758893280632411
exploration,without_fixed_spec,1,full_rotate,50,0.0,0.0,0,21446,0.0
exploration,without_fixed_spec,2,full_rotate,50,0.0,0.0,0,21261,0.0
exploration,without_fixed_spec,3,full_rotate,50,0.0,0.0,0,22468,0.0
exploration,without_fixed_spec,4,full_rotate,50,0.0,0.0,0,21497,0.0
exploration,without_fixed_spec,5,full_rotate,50,0.0,0.0,0,21385,0.0
exploration,without_fixed_spec,6,full_rotate,50,0.0,0.0,0,21539,0.0
exploration,baseline,0,move_backward,10,0.11668434454771522,0.12825952384806513,6,5060,0.11857707509881422
exploration,without_fixed_spec,1,move_backward,50,2.606358736326436,0.682962654573603,561,21446,2.615872423762007
exploration,without_fixed_spec,2,move_backward,50,2.8317255307230713,0.5823443702250762,602,21261,2.8314754715206245
exploration,without_fixed_spec,3,move_backward,50,2.2468090590421887,0.6650033668861594,503,22468,2.2387395406800783
exploration,without_fixed_spec,4,move_backward,50,2.8350846857620375,0.7279615859838292,610,21497,2.8376052472438014
exploration,without_fixed_spec,5,move_backward,50,2.619647039034516,0.4360589547155634,557,21385,2.6046294131400516
exploration,without_fixed_spec,6,move_backward,50,2.708567580444712,0.7295424304419659,583,21539,2.7067180463345557
exploration,baseline,0,move_forward,10,86.3720439171213,4.417136759786152,4374,5060,86.44268774703558
exploration,without_fixed_spec,1,move_forward,50,89.76738278752805,1.265704365789397,19255,21446,89.78364263732165
exploration,without_fixed_spec,2,move_forward,50,88.42412001077358,0.8421655785033008,18799,21261,88.42011194205352
exploration,without_fixed_spec,3,move_forward,50,90.23682907038645,1.3942169732383116,20278,22468,90.2528039878939
exploration,without_fixed_spec,4,move_forward,50,89.721019864854,1.3835389529605047,19285,21497,89.71019211983068
exploration,without_fixed_spec,5,move_forward,50,89.96383817843477,1.192433821615895,19244,21385,89.98830956277764
exploration,without_fixed_spec,6,move_forward,50,90.25991967741672,1.313106594018192,19445,21539,90.27810019035239
exploration,baseline,0,rotate_clockwise,10,3.0832021821240394,0.7888492494901187,156,5060,3.08300395256917
exploration,without_fixed_spec,1,rotate_clockwise,50,2.615043274116139,0.40643367565809196,562,21446,2.620535297957661
exploration,without_fixed_spec,2,rotate_clockwise,50,2.7415838053849257,0.4023514636994884,584,21261,2.7468134142326326
exploration,without_fixed_spec,3,rotate_clockwise,50,2.682631349675313,0.6962640899124943,604,22468,2.6882677585899946
exploration,without_fixed_spec,4,rotate_clockwise,50,2.674816099970233,0.6740252102175073,579,21497,2.6933990789412476
exploration,without_fixed_spec,5,rotate_clockwise,50,2.5671684665590737,0.744324918651838,547,21385,2.557867664250643
exploration,without_fixed_spec,6,rotate_clockwise,50,2.2072777086546314,0.6577305949873872,479,21539,2.2238729746042063
exploration,baseline,0,rotate_counterclockwise,10,3.617631531592786,1.3997697881837676,182,5060,3.5968379446640317
exploration,without_fixed_spec,1,rotate_counterclockwise,50,2.1875179663698763,0.7559715962257113,468,21446,2.182225123566166
exploration,without_fixed_spec,2,rotate_counterclockwise,50,3.014929473050093,0.5569268058423423,641,21261,3.0149099289779406
exploration,without_fixed_spec,3,rotate_counterclockwise,50,2.581900298710768,0.7110042248588176,581,22468,2.5858999465907067
exploration,without_fixed_spec,4,rotate_counterclockwise,50,2.265446470070371,0.703540934925983,488,21497,2.270084197795041
exploration,without_fixed_spec,5,rotate_counterclockwise,50,2.672006540836894,0.9468294179300701,579,21385,2.7075052606967502
exploration,without_fixed_spec,6,rotate_counterclockwise,50,2.4928179738061056,0.8212917640595911,534,21539,2.479223733692372
exploration,baseline,0,u_turn,10,0.0,0.0,0,5060,0.0
exploration,without_fixed_spec,1,u_turn,50,2.823697235659493,0.766160851107226,600,21446,2.797724517392521
exploration,without_fixed_spec,2,u_turn,50,2.9876411800683296,0.5727127606548508,635,21261,2.986689243215277
exploration,without_fixed_spec,3,u_turn,50,2.251830222185281,0.6525875098678329,502,22468,2.2342887662453266
exploration,without_fixed_spec,4,u_turn,50,2.5036328793433635,0.44215030378541165,535,21497,2.4887193561892356
exploration,without_fixed_spec,5,u_turn,50,2.177339775134749,0.6229956225419911,458,21385,2.1416880991349077
exploration,without_fixed_spec,6,u_turn,50,2.3314170596778396,0.6256835556964968,498,21539,2.3120850550164818
exploration,with_fixed_spec,1,full_rotate,50,0.0,0.0,0,23823,0.0
exploration,with_fixed_spec,2,full_rotate,50,0.0,0.0,0,23557,0.0
exploration,with_fixed_spec,3,full_rotate,50,0.0,0.0,0,23519,0.0
exploration,with_fixed_spec,4,full_rotate,50,0.0,0.0,0,23393,0.0
exploration,with_fixed_spec,5,full_rotate,50,0.0,0.0,0,23231,0.0
exploration,with_fixed_spec,6,full_rotate,50,0.0,0.0,0,23409,0.0
exploration,with_fixed_spec,1,move_backward,50,0.11087099635549214,0.18967285235595302,26,23823,0.1091382277630861
exploration,with_fixed_spec,2,move_backward,50,0.11816712322435957,0.24814950368594443,28,23557,0.11886063590440209
exploration,with_fixed_spec,3,move_backward,50,0.16600629269304132,0.21016861469883638,39,23519,0.16582337684425358
exploration,with_fixed_spec,4,move_backward,50,0.1923615688085651,0.26366378887839564,45,23393,0.1923652374641987
exploration,with_fixed_spec,5,move_backward,50,0.11320900419896726,0.18812714292828256,26,23231,0.1119194180190263
exploration,with_fixed_spec,6,move_backward,50,0.25152861293591916,0.3125768791251563,58,23409,0.2477679524969029
exploration,with_fixed_spec,1,move_forward,50,89.02569562131697,3.7290663532763024,21213,23823,89.04420098224405
exploration,with_fixed_spec,2,move_forward,50,90.38607878988367,4.118709865707563,21307,23557,90.44869890053911
exploration,with_fixed_spec,3,move_forward,50,89.95552539691977,3.4483318088205506,21169,23519,90.00807857476933
exploration,with_fixed_spec,4,move_forward,50,90.26560728357236,3.210758475964665,21132,23393,90.3347155131877
exploration,with_fixed_spec,5,move_forward,50,88.92003957253483,4.459086878136419,20663,23231,88.94580517412079
exploration,with_fixed_spec,6,move_forward,50,89.63897013148822,3.6705042405250907,20995,23409,89.6877269426289
exploration,with_fixed_spec,1,rotate_clockwise,50,2.5843538339890952,1.2008844349557857,616,23823,2.5857364731561936
