task,condition,video,duration_s,final_coverage_pct,common_cutoff_s,coverage_at_common_cutoff_pct,time_to_100_pct_s,robot_0_detection_pct,robot_1_detection_pct,robot_2_detection_pct,robot_0_full_recording_in_arena_detection_pct,robot_1_full_recording_in_arena_detection_pct,robot_2_full_recording_in_arena_detection_pct,max_internal_missing_gap_s,max_full_recording_missing_gap_s,result_directory
exploration,baseline,2026-09-13 17-58-52_exp_base.mp4,64.56666666666666,100.0,64.56666666666666,100.0,45.0,99.07120743034056,97.83281733746131,100.0,99.07120743034056,97.83281733746131,100.0,0.6000000000000014,0.6000000000000014,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 17-58-52_exp_base
exploration,llm,2026-09-13 18-01-11_exp_llm.mp4,66.89999999999999,83.33333333333333,64.56666666666666,83.33333333333333,,100.0,96.69669669669669,98.2089552238806,100.0,96.11940298507463,98.2089552238806,0.4000000000000057,0.4000000000000057,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-01-11_exp_llm
exploration,baseline,2026-09-13 18-03-08_exp_base.mp4,66.36666666666666,100.0,64.56666666666666,100.0,17.5,98.79518072289157,99.39759036144578,100.0,98.79518072289157,99.39759036144578,100.0,0.4000000000000057,0.4000000000000057,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-03-08_exp_base
exploration,llm,2026-09-13 18-06-11_exp_llm.mp4,65.76666666666667,100.0,64.56666666666666,100.0,31.0,98.17629179331307,99.69604863221885,99.3920972644377,98.17629179331307,99.69604863221885,99.3920972644377,0.6000000000000014,0.6000000000000014,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-06-11_exp_llm
exploration,baseline,2026-09-13 18-08-41_exp_base.mp4,66.36666666666666,100.0,64.56666666666666,100.0,29.0,99.6987951807229,100.0,96.3855421686747,99.6987951807229,100.0,96.3855421686747,0.8000000000000043,0.8000000000000043,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-08-41_exp_base
exploration,llm,2026-09-13 18-11-12_exp_llm.mp4,66.16666666666666,100.0,64.56666666666666,100.0,40.0,98.48942598187311,98.48942598187311,96.07250755287009,98.48942598187311,98.48942598187311,96.07250755287009,0.8000000000000043,0.8000000000000043,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-11-12_exp_llm
exploration,baseline,2026-09-13 18-14-32_exp_base.mp4,67.6,100.0,64.56666666666666,100.0,62.0,99.40828402366864,97.33727810650888,95.56213017751479,99.40828402366864,97.33727810650888,95.56213017751479,1.0,1.0,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-14-32_exp_base
exploration,llm,2026-09-13 18-17-02_exp_llm.mp4,69.7,100.0,64.56666666666666,100.0,43.5,98.567335243553,95.12893982808023,94.84240687679083,98.567335243553,95.12893982808023,94.84240687679083,1.4000000000000021,1.4000000000000021,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-17-02_exp_llm
exploration,baseline,2026-09-13 18-21-51_exp_base.mp4,67.2,100.0,64.56666666666666,100.0,15.0,90.77380952380952,99.10714285714286,99.70238095238095,90.77380952380952,99.10714285714286,99.70238095238095,0.8000000000000043,0.8000000000000043,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-21-51_exp_base
exploration,llm,2026-09-13 18-24-07_exp_llm.mp4,69.1,91.66666666666667,64.56666666666666,91.66666666666667,,93.64161849710983,100.0,98.55491329479769,93.64161849710983,100.0,98.55491329479769,1.0,1.0,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-24-07_exp_llm
exploration,baseline,2026-09-13 18-26-08_exp_base.mp4,88.86666666666666,100.0,64.56666666666666,100.0,7.0,98.42696629213484,100.0,96.85393258426966,98.42696629213484,100.0,96.85393258426966,0.8000000000000007,0.8000000000000007,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-26-08_exp_base
exploration,llm,2026-09-13 18-28-52_exp_llm.mp4,66.66666666666666,100.0,64.56666666666666,100.0,41.5,99.7005988023952,99.7005988023952,97.90419161676647,99.7005988023952,99.7005988023952,97.90419161676647,0.6000000000000014,0.6000000000000014,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-28-52_exp_llm
exploration,baseline,2026-09-13 18-31-50_exp_base.mp4,66.56666666666666,100.0,64.56666666666666,100.0,17.5,99.3993993993994,100.0,98.49849849849849,99.3993993993994,100.0,98.49849849849849,0.6000000000000014,0.6000000000000014,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-31-50_exp_base
exploration,llm,2026-09-13 18-34-45_exp_llm.mp4,66.16666666666666,100.0,64.56666666666666,100.0,16.5,98.18731117824774,100.0,98.48942598187311,98.18731117824774,100.0,98.48942598187311,0.4000000000000057,0.4000000000000057,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-34-45_exp_llm
exploration,baseline,2026-09-13 18-37-15_exp_base.mp4,66.7,100.0,64.56666666666666,100.0,27.5,98.50299401197604,100.0,98.20359281437126,98.50299401197604,100.0,98.20359281437126,0.40000000000000213,0.40000000000000213,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-37-15_exp_base
exploration,llm,2026-09-13 18-39-43_exp_llm.mp4,67.39999999999999,100.0,64.56666666666666,100.0,59.0,94.95548961424332,100.0,91.3946587537092,94.95548961424332,100.0,91.3946587537092,3.200000000000001,3.200000000000001,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-39-43_exp_llm
exploration,baseline,2026-09-13 18-42-20_exp_base.mp4,66.7,100.0,64.56666666666666,100.0,48.0,99.10179640718563,100.0,100.0,99.10179640718563,100.0,100.0,0.3999999999999986,0.4000000000000057,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-42-20_exp_base
exploration,llm,2026-09-13 18-44-36_exp_lm.mp4,91.46666666666667,100.0,64.56666666666666,100.0,41.0,99.12663755458516,100.0,96.2882096069869,99.12663755458516,100.0,96.2882096069869,0.6000000000000085,0.6000000000000085,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-44-36_exp_lm
exploration,baseline,2026-09-13 18-48-05_exp_base.mp4,76.93333333333334,100.0,64.56666666666666,100.0,43.0,97.40259740259741,100.0,98.7012987012987,97.40259740259741,100.0,98.7012987012987,1.3999999999999915,1.3999999999999915,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-48-05_exp_base
exploration,llm,2026-09-13 18-50-42_exp_llm.mp4,67.2,100.0,64.56666666666666,100.0,13.0,97.61904761904762,99.70238095238095,95.83333333333333,97.61904761904762,99.70238095238095,95.83333333333333,0.8000000000000007,0.8000000000000007,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/exploration/2026-09-13 18-50-42_exp_llm
patrolling,baseline,2026-09-13 12-25-28_base.mp4,149.5,100.0,122.2,100.0,27.0,99.66101694915254,100.0,99.59893048128342,39.3048128342246,87.29946524064171,99.59893048128342,0.4000000000000057,90.7,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 12-25-28_base
patrolling,llm,2026-09-13 12-36-00_llm.mp4,221.9,100.0,122.2,100.0,20.0,74.3078626799557,99.63963963963964,100.0,60.450450450450454,99.63963963963964,53.24324324324324,5.200000000000003,103.9,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 12-36-00_llm
patrolling,baseline,2026-09-13 12-41-54_base.mp4,122.2,100.0,122.2,100.0,24.5,100.0,93.78068739770868,99.08045977011494,43.86252045826514,93.78068739770868,70.54009819967267,1.4000000000000057,68.80000000000001,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 12-41-54_base
patrolling,llm,2026-09-13 12-45-21_llm_best.mp4,130.53333333333333,100.0,122.2,100.0,14.5,97.4910394265233,98.08102345415779,98.77488514548239,41.65390505359878,70.44410413476264,98.77488514548239,1.6000000000000014,74.93333333333334,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 12-45-21_llm_best
patrolling,baseline,2026-09-13 12-53-56_base.mp4,205.23333333333332,91.66666666666667,122.2,91.66666666666667,,99.56268221574344,99.4157740993184,98.96800825593395,66.50438169425512,99.4157740993184,93.37877312560857,1.4000000000000057,68.23333333333332,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 12-53-56_base
patrolling,llm,2026-09-13 12-59-50_llm.mp4,286.7666666666667,100.0,122.2,100.0,20.5,96.78675754625122,99.81167608286252,99.581589958159,69.31659693165969,36.95955369595537,99.581589958159,2.4000000000000057,180.7666666666667,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 12-59-50_llm
patrolling,baseline,2026-09-13 13-06-27_base.mp4,192.29999999999998,100.0,122.2,100.0,59.5,100.0,99.71711456859971,96.04989604989605,85.44698544698545,73.28482328482329,96.04989604989605,2.799999999999997,51.099999999999994,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 13-06-27_base
patrolling,llm,2026-09-13 13-11-04_llm.mp4,325.53333333333336,100.0,122.2,100.0,31.0,100.0,99.63144963144963,96.03580562659846,26.65847665847666,99.63144963144963,46.13022113022113,2.6000000000000085,238.93333333333337,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 13-11-04_llm
patrolling,baseline,2026-09-13 13-18-40_base.mp4,122.89999999999999,100.0,122.2,100.0,45.0,100.0,99.51219512195122,95.78163771712158,49.26829268292683,99.51219512195122,62.764227642276424,1.0,62.49999999999999,/home/ecem/sct_ws/src/leo_real_experiments/analysis/coverage/patrolling/2026-09-13 13-18-40_base
