event,count,percentage
EV_move_forward,5631,49.33847367037589
EV_approach_zone,1640,14.369578550775431
EV_approach_object,1566,13.721195128362394
EV_search_zone,1198,10.496801892578638
EV_search_object,734,6.431262595286078
EV_full_rotate,217,1.9013405765355296
EV_rotate_counterclockwise,122,1.0689564531674407
EV_rotate_clockwise,111,0.9725751336195566
EV_move_backward,59,0.5169543503022869
EV_pick_up_object,45,0.3942872163322527
EV_drop_object,45,0.3942872163322527
EV_claim_green,15,0.1314290721107509
EV_claim_red,15,0.1314290721107509
EV_claim_blue,15,0.1314290721107509
