task,prompt,prompt_text,generation,collision_control,seed,supervisor,success,task_success_pct,duration_s,coverage_pct,collisions,yaml,run
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1001,S_20260916_041529,False,77.77777777777777,300.267,83.333,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1001/S_20260916_041529/run_20260916_041549_478783357
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1002,S_20260916_041529,False,44.44444444444444,300.214,83.333,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1002/S_20260916_041529/run_20260916_041549_475946190
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1003,S_20260916_041529,False,33.333333333333336,300.488,85.417,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1003/S_20260916_041529/run_20260916_041549_461495875
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1004,S_20260916_041529,False,44.44444444444444,300.23,95.833,3,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1004/S_20260916_041529/run_20260916_041549_484738381
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1005,S_20260916_041529,False,55.55555555555556,300.218,97.917,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1005/S_20260916_041529/run_20260916_041549_497905174
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1006,S_20260916_041529,False,44.44444444444444,300.252,100.0,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1006/S_20260916_041529/run_20260916_041549_502294766
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1007,S_20260916_041529,False,33.333333333333336,300.368,87.5,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1007/S_20260916_041529/run_20260916_042058_022674008
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1008,S_20260916_041529,False,44.44444444444444,300.33,93.75,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1008/S_20260916_041529/run_20260916_042058_432040568
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1009,S_20260916_041529,False,33.333333333333336,300.365,91.667,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1009/S_20260916_041529/run_20260916_042058_502316557
patrolling,7,Only rotate clockwise.,2,with_fixed_spec,1010,S_20260916_041529,False,22.22222222222222,300.248,91.667,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_2/S_20260916_041529.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1010/S_20260916_041529/run_20260916_042058_379593685
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1001,S_20260916_041532,False,66.66666666666667,300.35,93.75,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1001/S_20260916_041532/run_20260916_043119_031740040
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1002,S_20260916_041532,False,55.55555555555556,300.434,91.667,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1002/S_20260916_041532/run_20260916_043119_259684961
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1003,S_20260916_041532,False,44.44444444444444,300.359,91.667,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1003/S_20260916_041532/run_20260916_043119_300780094
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1004,S_20260916_041532,False,33.333333333333336,300.42,81.25,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1004/S_20260916_041532/run_20260916_043120_063047452
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1005,S_20260916_041532,False,22.22222222222222,300.39,97.917,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1005/S_20260916_041532/run_20260916_043626_319949655
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1006,S_20260916_041532,False,44.44444444444444,300.248,85.417,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1006/S_20260916_041532/run_20260916_043626_857023212
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1007,S_20260916_041532,False,33.333333333333336,300.422,95.833,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1007/S_20260916_041532/run_20260916_043629_003337039
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1008,S_20260916_041532,False,33.333333333333336,300.508,93.75,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1008/S_20260916_041532/run_20260916_043629_546984819
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1009,S_20260916_041532,False,55.55555555555556,300.478,70.833,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1009/S_20260916_041532/run_20260916_043629_622921881
patrolling,7,Only rotate clockwise.,3,with_fixed_spec,1010,S_20260916_041532,False,33.333333333333336,300.569,97.917,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_3/S_20260916_041532.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1010/S_20260916_041532/run_20260916_043630_512436896
patrolling,7,Only rotate clockwise.,4,with_fixed_spec,1001,S_20260916_041540,False,77.77777777777777,300.519,93.75,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_4/S_20260916_041540.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1001/S_20260916_041540/run_20260916_044650_795753940
patrolling,7,Only rotate clockwise.,4,with_fixed_spec,1002,S_20260916_041540,False,66.66666666666667,300.526,93.75,0,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_4/S_20260916_041540.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1002/S_20260916_041540/run_20260916_044652_476946669
patrolling,7,Only rotate clockwise.,4,with_fixed_spec,1003,S_20260916_041540,False,44.44444444444444,300.353,91.667,6,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_4/S_20260916_041540.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1003/S_20260916_041540/run_20260916_045155_018718518
patrolling,7,Only rotate clockwise.,4,with_fixed_spec,1004,S_20260916_041540,False,33.333333333333336,300.27,95.833,1,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_4/S_20260916_041540.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1004/S_20260916_041540/run_20260916_045155_601309820
patrolling,7,Only rotate clockwise.,4,with_fixed_spec,1005,S_20260916_041540,False,33.333333333333336,300.277,93.75,2,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/YAML/patrolling/with_fixed_spec/prompt_7/generation_4/S_20260916_041540.yaml,/home/ecem/sct_ws/src/llm_sct/RESULTS_LAST/wrong_prompts/p7_task_worlds/patrolling_api4_20260916_041525/results_strict_plain_20260916_041525/patrolling/with_fixed_spec/seed_1005/S_20260916_041540/run_20260916_045200_215985704
