prompt,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_median_s,duration_success_mean_s,duration_success_median_s,duration_min_s,duration_max_s,progress_mean_pct,collisions_total,selected_events_total
1,3,3,100.0,133.59066666666666,120.822,133.59066666666666,120.822,115.536,164.414,100.0,0,2870
2,3,3,100.0,286.725,223.682,286.725,223.682,152.739,483.754,100.0,0,4301
3,3,3,100.0,171.02866666666668,135.846,171.02866666666668,135.846,124.333,252.907,100.0,2,3712
4,3,3,100.0,217.551,198.712,217.551,198.712,151.849,302.092,100.0,0,3799
5,3,3,100.0,166.954,167.939,166.954,167.939,135.413,197.51,100.0,2,3715
