task,seed,prompt,generation,supervisor,success,duration_s,progress_pct,collisions,selected_events,yaml,run
patrolling,1001,1,1,S_20260830_151017,True,164.414,100.0,0,1215,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_1/S_20260830_151017.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151017/robots_3/run_20260830_185606
patrolling,1001,1,2,S_20260830_151030,True,115.536,100.0,0,735,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_2/S_20260830_151030.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151030/robots_3/run_20260830_185859
patrolling,1001,1,3,S_20260830_151042,True,120.822,100.0,0,920,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_1/generation_3/S_20260830_151042.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151042/robots_3/run_20260830_190104
patrolling,1001,2,1,S_20260830_151053,True,152.739,100.0,0,1062,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_1/S_20260830_151053.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151053/robots_3/run_20260830_190313
patrolling,1001,2,2,S_20260830_151105,True,223.682,100.0,0,1437,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_2/S_20260830_151105.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151105/robots_3/run_20260830_190555
patrolling,1001,2,3,S_20260830_151119,True,483.754,100.0,0,1802,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_2/generation_3/S_20260830_151119.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151119/robots_3/run_20260830_190947
patrolling,1001,3,1,S_20260830_151130,True,252.907,100.0,0,1710,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_1/S_20260830_151130.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151130/robots_3/run_20260830_191800
patrolling,1001,3,2,S_20260830_151141,True,135.846,100.0,0,1045,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_2/S_20260830_151141.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151141/robots_3/run_20260830_192222
patrolling,1001,3,3,S_20260830_151153,True,124.333,100.0,2,957,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_3/generation_3/S_20260830_151153.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151153/robots_3/run_20260830_192446
patrolling,1001,4,1,S_20260830_151204,True,151.849,100.0,0,977,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_1/S_20260830_151204.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151204/robots_3/run_20260830_192700
patrolling,1001,4,2,S_20260830_151216,True,198.712,100.0,0,1247,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_2/S_20260830_151216.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151216/robots_3/run_20260830_192940
patrolling,1001,4,3,S_20260830_151225,True,302.092,100.0,0,1575,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_4/generation_3/S_20260830_151225.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151225/robots_3/run_20260830_193308
patrolling,1001,5,1,S_20260830_151242,True,167.939,100.0,0,1040,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_1/S_20260830_151242.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151242/robots_3/run_20260830_193819
patrolling,1001,5,2,S_20260830_151254,True,197.51,100.0,1,1571,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_2/S_20260830_151254.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151254/robots_3/run_20260830_194116
patrolling,1001,5,3,S_20260830_151304,True,135.413,100.0,1,1104,/home/ecem/sct_ws/src/llm_sct/automata/resulting_automata/YAML/patrolling/prompt_5/generation_3/S_20260830_151304.yaml,/home/ecem/sct_ws/src/llm_sct/results/llm/results_patrolling/S_20260830_151304/robots_3/run_20260830_194443
