prompt,prompt_text,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_sd_s,duration_success_mean_s,duration_success_sd_s,coverage_mean_pct,coverage_sd_pct,coverage_success_mean_pct,coverage_success_sd_pct,collisions_total,collisions_mean,collisions_sd
1,"Patrol the red, green, and blue zones in order.",15,14,93.33333333333333,196.91013333333333,61.761665036781146,189.53585714285714,57.195004565655076,40.156866666666666,6.735930758419524,39.57985714285714,6.604511713941602,1,0.06666666666666667,0.24944382578492943
2,"Each robot should patrol red, green and blue zones respectively",15,7,46.666666666666664,368.29386666666664,196.16866194064286,189.0544285714286,54.23647848043957,54.35306666666667,14.229603337018531,41.34471428571429,5.201909284491766,3,0.2,0.5416025603090641
3,"Search and approach red, green and blue zones in order",15,14,93.33333333333333,224.57666666666665,111.35074275559288,197.75300000000001,49.919870836027954,42.1962,7.122170317162224,41.0085,5.760996190516259,0,0.0,0.0
4,"Visit red, green and blue locations",15,14,93.33333333333333,303.1224,135.67361439267893,303.3356428571429,140.4331044120332,44.784333333333336,4.9627958473245934,44.874,5.125229723074442,0,0.0,0.0
5,"First go to the red,then to the green and lastly to the blue zones",15,14,93.33333333333333,231.62353333333334,102.56015193037801,226.73071428571427,104.45485663018572,44.470533333333336,10.176784854865618,44.53778571428572,10.530752395983404,0,0.0,0.0
