prompt,prompt_text,generation,runs,successes,success_rate_pct,duration_all_mean_s,duration_all_sd_s,duration_success_mean_s,duration_success_sd_s,coverage_mean_pct,coverage_sd_pct,coverage_success_mean_pct,coverage_success_sd_pct,collisions_total,collisions_mean,collisions_sd
1,"Patrol the red, green, and blue zones in order.",1,5,5,100.0,203.0554,37.32498181432912,203.0554,37.32498181432912,40.2352,7.229318623494196,40.2352,7.229318623494196,1,0.2,0.4
1,"Patrol the red, green, and blue zones in order.",2,5,5,100.0,207.6668,73.50123441521237,207.6668,73.50123441521237,42.1178,5.830286284566136,42.1178,5.830286284566136,0,0.0,0.0
1,"Patrol the red, green, and blue zones in order.",3,5,4,80.0,180.0082,64.87509958188888,149.97275,27.39218681827904,38.1176,6.469389417866264,35.58825,4.508679650130401,0,0.0,0.0
2,"Each robot should patrol red, green and blue zones respectively",1,5,5,100.0,174.4146,54.02513558927919,174.4146,54.02513558927919,42.5884,5.068396417013966,42.5884,5.068396417013966,0,0.0,0.0
2,"Each robot should patrol red, green and blue zones respectively",2,5,1,20.0,458.5248,176.7467914202688,192.136,0.0,64.2354,12.103469264636482,42.353,0.0,2,0.4,0.8
2,"Each robot should patrol red, green and blue zones respectively",3,5,1,20.0,471.9422,157.52625131628062,259.172,0.0,56.235400000000006,13.987535531322164,34.118,0.0,1,0.2,0.4
3,"Search and approach red, green and blue zones in order",1,5,5,100.0,181.37980000000002,39.14880905672611,181.37980000000002,39.14880905672611,41.4118,4.550382023522861,41.4118,4.550382023522861,0,0.0,0.0
3,"Search and approach red, green and blue zones in order",2,5,4,80.0,270.5322,170.15568854246393,188.13825,47.406570706891465,43.059,9.131111126254021,39.11775,5.153079679909868,0,0.0,0.0
3,"Search and approach red, green and blue zones in order",3,5,5,100.0,221.818,52.210014050946214,221.818,52.210014050946214,42.1178,6.835708402206753,42.1178,6.835708402206753,0,0.0,0.0
4,"Visit red, green and blue locations",1,5,5,100.0,257.5696,74.22412703858495,257.5696,74.22412703858495,46.8236,4.550144155958139,46.8236,4.550144155958139,0,0.0,0.0
4,"Visit red, green and blue locations",2,5,4,80.0,311.4886,142.86567148283035,314.3265,159.60257431586123,41.1764,2.1044753835576238,40.58825,1.9510045329265653,0,0.0,0.0
4,"Visit red, green and blue locations",3,5,5,100.0,340.309,160.54368157732026,340.309,160.54368157732026,46.353,5.396192435412216,46.353,5.396192435412216,0,0.0,0.0
5,"First go to the red,then to the green and lastly to the blue zones",1,5,5,100.0,191.9466,26.485046140039103,191.9466,26.485046140039103,39.5294,4.376671730893236,39.5294,4.376671730893236,0,0.0,0.0
5,"First go to the red,then to the green and lastly to the blue zones",2,5,5,100.0,302.7854,143.48741359101848,302.7854,143.48741359101848,54.5882,11.22536820598772,54.5882,11.22536820598772,0,0.0,0.0
5,"First go to the red,then to the green and lastly to the blue zones",3,5,4,80.0,200.1386,51.34284205846029,175.1425,13.079916370145487,39.294000000000004,3.4580671479888876,38.23525,3.056636662657175,0,0.0,0.0
