event,count,percentage
EV_move_forward,8055,49.95968492216089
EV_search_object,2575,15.97097314395584
EV_approach_object,2379,14.755318489114929
EV_approach_zone,1439,8.925138001612604
EV_search_zone,639,3.9632822675680703
EV_full_rotate,373,2.3134652359982635
EV_rotate_clockwise,236,1.463747441543137
EV_rotate_counterclockwise,217,1.3459033678595795
EV_move_backward,77,0.4775786144017863
EV_pick_up_object,44,0.2729020653724493
EV_drop_object,44,0.2729020653724493
EV_claim_red,16,0.09923711468089065
EV_claim_blue,15,0.09303479501333499
EV_claim_green,14,0.08683247534577933
